"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.44","0.66","1.97","4.53","4.19","3.75","44.44","3.69","8.82"
"ECLIPSE-2007","1","0.77","1.29","2.83","1.92","0.87","50.92","3.03","4.05"
"ECLIPSE-2007","[1.42,3.11]","[0.18,1.12]","[0.49,2.74]","[1.27,6.22]","[2.15,5.45]","[3.16,4.75]","[0,77.78]","[0.77,5.71]","[5.96,11.32]"
"Metrics-Repo-2010","9.35","4.37","19.48","27.08","30.2","7.1","53.83","300.19","25.46"
"Metrics-Repo-2010","9.75","5.1","26.66","34.11","47.13","9.03","209.6","940.12","33.41"
"Metrics-Repo-2010","[7.18,12.25]","[3.35,6.14]","[13.96,28.53]","[19.65,38.37]","[21.28,48.62]","[5.26,10.35]","[21.52,157.71]","[128.84,663.72]","[19.08,37.73]"
"JIRA-HA-2019","8.51","2.84","6.89","16.63","10.34","12.68","90.26","61.82","17.47"
"JIRA-HA-2019","7.63","5.28","7.41","15.27","9.96","13.42","156.41","96.59","15.33"
"JIRA-HA-2019","[6.38,11.22]","[1.85,6.02]","[5.05,9.93]","[12.7,22.24]","[7.85,14.17]","[9.22,17.61]","[49.29,154.04]","[39.7,104.04]","[13.17,23.04]"
"JIRA-RA-2019","12.17","3.66","10.97","42.74","13.26","14.13","60.1","229.23","17.89"
"JIRA-RA-2019","19.72","6.2","22.11","134.78","17.9","24.25","105.32","961.76","17.87"
"JIRA-RA-2019","[8.05,22.35]","[2.43,6.72]","[6.67,25.77]","[18.74,126.5]","[9.35,20.52]","[9.73,27.89]","[36.87,113.85]","[67.28,958.78]","[13.32,24.44]"
"MA-SZZ-2020","15.06","4.7","39.7","262.39","99.14","19.79","153.66","72.86","13.79"
"MA-SZZ-2020","88.26","13.87","485.42","3465.61","1252.53","110.14","1683.46","259.5","17.69"
"MA-SZZ-2020","[7.29,42.45]","[3.22,7.31]","[5.28,176.17]","[15.26,1472.36]","[10.6,541.26]","[10.43,57.38]","[32.74,732.17]","[45.43,117.13]","[11.8,16.62]"
"IND-JLMIV+R-2020","19.55","7.61","58.29","170.74","84.97","31.48","130.97","212.05","28.01"
"IND-JLMIV+R-2020","53.89","16.34","573.02","1913.41","848.62","54.5","472.71","1521.28","53.97"
"IND-JLMIV+R-2020","[15.38,28.46]","[6.06,9.85]","[21.37,196.91]","[50.5,614.2]","[31.36,289.45]","[26.23,38.2]","[94.27,221.99]","[113.77,522.66]","[23.5,37.44]"
