"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","6.86","3.66","24.69","31.54","4.34","13.61","8.55","15.22"
"Metrics-Repo-2010","6.03","5.7","48.94","54.74","7.41","40.06","7.84","25.59"
"Metrics-Repo-2010","5.31","2.61","13.2","18.54","2.82","5.15","6.27","9.39"
"Metrics-Repo-2010","8.85","8.75","45.74","54.86","8.38","32.54","11.3","25.96"
"JIRA-HA-2019","4.08","0.84","3.59","9.68","3.4","14.06","2.19","15.82"
"JIRA-HA-2019","2.84","0.72","2.35","5.29","3.26","40.63","2.32","28.9"
"JIRA-HA-2019","3.13","0.63","2.78","7.66","2.46","4.69","1.62","8.87"
"JIRA-HA-2019","5.1","1.11","4.38","11.28","4.62","33.24","3.35","33.79"
"JIRA-RA-2019","2.74","0.82","2.85","6.41","2.76","17.19","1.41","7.32"
"JIRA-RA-2019","1.91","0.64","2.73","4.87","2.5","50.18","1.09","8.4"
"JIRA-RA-2019","2.16","0.66","2.01","4.96","2.12","4.69","1.08","5.27"
"JIRA-RA-2019","3.52","1.13","3.95","8.41","3.88","40.63","1.85","11.79"
"MA-SZZ-2020","5.29","1.06","9.06","11.52","9.75","20.14","2.1","12.5"
"MA-SZZ-2020","7.06","1","20.03","18.07","10.69","24.18","1.79","20.35"
"MA-SZZ-2020","3.85","0.8","4.82","7.7","7.21","13.58","1.67","8.28"
"MA-SZZ-2020","8.19","1.37","17.15","18.37","13.28","27.6","2.67","20.61"
