"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","526.09","39.3","62.08","70.26","77.28","233.95","46.27","94.45"
"Metrics-Repo-2010","2981.68","118.15","178.53","174.19","195.42","634.39","58.87","126.17"
"Metrics-Repo-2010","41.64","18.86","27.8","36.02","38.31","91.95","32.32","63.22"
"Metrics-Repo-2010","2434.39","132.86","165.46","167.35","200.2","560.18","73.08","143.9"
"JIRA-HA-2019","26.44","6.57","11.52","34.43","25.93","128.49","107.99","90.09"
"JIRA-HA-2019","27.63","6.47","15.85","42.57","26.66","227.5","280.58","125"
"JIRA-HA-2019","18.7","4.68","7.38","23.55","18.48","70.46","51.18","59.44"
"JIRA-HA-2019","39.19","9.24","18.39","57.8","37.61","246.57","392.56","148.71"
"JIRA-RA-2019","8.36","2.81","2.87","7.39","4.9","74.08","68.86","174.68"
"JIRA-RA-2019","8.68","2.79","3.6","5.93","3.94","207.42","150.25","612.46"
"JIRA-RA-2019","6.03","1.95","1.88","5.56","3.66","30.31","38.28","57.53"
"JIRA-RA-2019","12.36","3.93","4.67","9.69","6.32","224.93","165.31","611.39"
"MA-SZZ-2020","219.51","86.6","78.79","81.43","92.86","140.99","45.46","155.01"
"MA-SZZ-2020","458.4","320.63","149.85","100.42","188.36","281.81","52.74","342.99"
"MA-SZZ-2020","124.19","31.35","44.24","54.03","51.49","86.45","33.86","77.13"
"MA-SZZ-2020","405.82","262.03","133.93","111.46","162.46","279.73","66.71","289.68"
