"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","4.77","2.05","1.43","5.92","3.98","1.07","0","2.56","5.54"
"ECLIPSE-2007","0.29","0.51","0.28","0.54","0.72","0.92","0","1.55","0.88"
"ECLIPSE-2007","[4.55,5.1]","[1.53,2.39]","[1.25,1.6]","[5.38,6.28]","[3.42,4.43]","[0.54,1.61]","[0,0]","[1.36,3.55]","[5.04,6.05]"
"Metrics-Repo-2010","18.96","9.16","37.83","47.92","30.39","11.02","5.6","13.93","14.75"
"Metrics-Repo-2010","18.02","8.73","58.74","60.8","28.94","13.98","18.9","15.76","15.7"
"Metrics-Repo-2010","[14.97,24.17]","[7.22,12.05]","[25.67,57.33]","[34.67,66.84]","[24.12,39.92]","[8.04,15.57]","[1.88,12.53]","[10.54,18.71]","[11.31,19.54]"
"JIRA-HA-2019","12.07","5.52","2.44","17.22","10.76","9.13","0","8.66","19.21"
"JIRA-HA-2019","11.88","4.07","2.11","14.83","9.09","7.81","0","6.84","36.98"
"JIRA-HA-2019","[8.91,16.72]","[4.24,6.83]","[1.86,3.16]","[13.17,22.93]","[8.5,14.19]","[6.96,11.93]","[0,0]","[6.72,10.95]","[12.08,43.96]"
"JIRA-RA-2019","10.76","5.42","2.82","15.96","10.19","7.18","0.42","6.05","12.72"
"JIRA-RA-2019","11.01","9.03","2.14","13.73","8.66","6.35","2.64","5.23","10.09"
"JIRA-RA-2019","[7.79,14.8]","[3.74,10.93]","[2.23,3.49]","[12.1,20.39]","[7.83,13.21]","[5.41,9.38]","[0,1.25]","[4.68,7.88]","[9.69,15.98]"
"MA-SZZ-2020","2.79","1.31","2.05","8","3.68","3.78","6.71","1.81","4.91"
"MA-SZZ-2020","4.19","4.36","2.4","8.27","5.07","7.38","23.78","2.33","6.97"
"MA-SZZ-2020","[2.19,3.48]","[0.9,2.82]","[1.68,2.39]","[6.8,9.31]","[2.98,4.58]","[2.82,5.04]","[3.98,11.98]","[1.46,2.22]","[3.95,6.08]"
"IND-JLMIV+R-2020","7.12","2.85","1.87","15.25","8.38","6.74","0.14","5.64","11.78"
"IND-JLMIV+R-2020","8.46","3.36","3.71","14.2","13.11","6.46","1.4","5.74","11.02"
"IND-JLMIV+R-2020","[5.92,9.33]","[2.29,3.57]","[1.39,3.09]","[12.96,18.5]","[6.84,13.44]","[5.59,8.1]","[0,0.41]","[4.66,6.84]","[9.74,14.13]"
