"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","46.78","6.75","1.43","5.92","3.98","5.27","3.41","19.74","7.93"
"ECLIPSE-2007","53.99","0.55","0.28","0.54","0.72","0.55","1.93","8.62","2.45"
"ECLIPSE-2007","[10.36,79.59]","[6.19,7.12]","[1.25,1.76]","[5.38,6.28]","[3.42,4.79]","[4.94,5.91]","[1.36,4.69]","[12.08,25.4]","[6.09,9.47]"
"Metrics-Repo-2010","102.51","26.86","37.83","47.92","30.39","40.3","42.02","323.41","51.05"
"Metrics-Repo-2010","145.69","24.57","58.74","60.8","28.94","40.02","74.88","1652.29","74.15"
"Metrics-Repo-2010","[73.46,150.18]","[21.42,34.54]","[25.62,56.35]","[35.48,67.08]","[23.85,38.52]","[31.85,52.18]","[27.84,69.61]","[90.85,1227.15]","[34.75,78.9]"
"JIRA-HA-2019","25.92","13.73","2.44","17.22","10.76","14.14","3.34","63.62","32.71"
"JIRA-HA-2019","24.34","9.71","2.11","14.83","9.09","10.34","2.77","87.2","32.62"
"JIRA-HA-2019","[18.77,34.34]","[10.9,16.9]","[1.81,3.17]","[12.85,22.49]","[8.38,14.2]","[11.15,17.23]","[2.6,4.31]","[43.66,101.04]","[23.09,45.16]"
"JIRA-RA-2019","44.29","14.49","2.82","15.96","10.19","12.06","4.51","39.93","67.7"
"JIRA-RA-2019","120.15","27.22","2.14","13.73","8.66","9.6","7.26","43.06","94.19"
"JIRA-RA-2019","[23.65,132.92]","[9.68,33]","[2.2,3.5]","[12,20.67]","[7.67,12.85]","[9.23,15.08]","[2.91,8.27]","[28.85,56.3]","[45.14,106.11]"
"MA-SZZ-2020","5.18","3.49","2.05","8","3.68","5.7","13.37","11.53","20.31"
"MA-SZZ-2020","6.35","17.11","2.4","8.27","5.07","9.47","50.14","33.62","56.39"
"MA-SZZ-2020","[4.33,6.25]","[2.04,10.17]","[1.71,2.43]","[6.78,9.48]","[2.9,4.53]","[4.44,7.51]","[8.17,28.03]","[7.74,20.37]","[14.14,35.62]"
"IND-JLMIV+R-2020","13.86","6.11","1.87","15.25","8.38","9.02","7.65","14.69","20.44"
"IND-JLMIV+R-2020","37.55","7.47","3.71","14.2","13.11","8.05","23.85","16.31","29.25"
"IND-JLMIV+R-2020","[9.78,34.84]","[4.86,7.81]","[1.4,3]","[13.03,18.59]","[6.82,13.2]","[7.61,10.61]","[4.3,14.19]","[11.98,18.19]","[16.04,28.66]"
