"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","114.22","42.29","85.19","111.09","31.32","128.9","110.73","101.18"
"Metrics-Repo-2010","162.7","45.1","280.64","323.82","44.13","231.19","339.43","180.68"
"Metrics-Repo-2010","80.37","32.59","36.56","55.09","21.42","77.99","52.31","61.92"
"Metrics-Repo-2010","186.35","64.81","261.53","315.53","51.71","234.06","320.98","189.33"
"JIRA-HA-2019","37.14","64.35","1.01","12.19","10.31","22.32","382.16","35.7"
"JIRA-HA-2019","60.68","128.43","1.37","19.77","18.85","113.52","1940.02","93.41"
"JIRA-HA-2019","21.75","30.83","0.64","7.17","5.81","0","30.84","15.79"
"JIRA-HA-2019","65.75","125.92","1.61","21.81","19.24","86.67","1741.27","89.19"
"JIRA-RA-2019","790.1","5.99","0.87","4.94","3.39","7.43","54.86","38.78"
"JIRA-RA-2019","4389.73","6.42","1.17","6.23","3.17","21.25","197.85","73.63"
"JIRA-RA-2019","12.6","4.18","0.56","3.25","2.44","2.45","17.05","22.29"
"JIRA-RA-2019","4668.65","8.82","1.48","7.63","4.62","18.42","193.17","82.92"
"MA-SZZ-2020","226","96.53","20.22","71.61","12.24","51.73","119.82","138.22"
"MA-SZZ-2020","687.02","196.05","22.61","109.61","9.94","86.23","208.01","165.36"
"MA-SZZ-2020","118.17","57.63","13.84","46.29","9.83","31.6","77.27","99.55"
"MA-SZZ-2020","592.99","176.53","28.12","112.78","15.51","82.11","200.62","195.14"
