"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","19.88","8.59","85.19","111.09","15.78","46.74","48.87","51.05"
"Metrics-Repo-2010","19.06","6.12","280.64","323.82","15.71","84.11","140.54","73.13"
"Metrics-Repo-2010","15.11","6.87","36.56","55.09","11.61","29.19","23.92","33.38"
"Metrics-Repo-2010","27.51","10.65","261.53","315.53","21.77","85.07","160.41","80.47"
"JIRA-HA-2019","19.27","21.38","1.01","12.19","10.04","10.94","2.36","6.47"
"JIRA-HA-2019","27.88","40.6","1.37","19.77","18.36","53.48","2.8","11.07"
"JIRA-HA-2019","11.87","10.84","0.64","7.17","5.67","0","1.52","4.14"
"JIRA-HA-2019","33.01","40.09","1.61","21.81","18.8","41.61","3.6","12.44"
"JIRA-RA-2019","9.08","2.5","0.87","4.94","3.26","4.69","1.33","6.03"
"JIRA-RA-2019","16.61","2.94","1.17","6.23","3.1","13.38","1.71","4.73"
"JIRA-RA-2019","5.33","1.73","0.56","3.25","2.34","1.56","0.87","4.6"
"JIRA-RA-2019","18.16","3.9","1.48","7.63","4.48","10.94","2.14","7.83"
"MA-SZZ-2020","42.31","5.87","20.22","71.61","11.33","38.61","5.73","23.1"
"MA-SZZ-2020","32.73","7.34","22.61","109.61","9.71","78.73","5.01","21.53"
"MA-SZZ-2020","33.33","4.19","13.84","46.29","8.98","22.59","4.53","18.36"
"MA-SZZ-2020","51.63","8.94","28.12","112.78","14.56","68.9","7.33","30.75"
