fileName,Ranked1,Ranked2,Ranked3,Top1_overlap,Top3_overlap,IL/Ins
jruby-1.5.0(1.4.0).csv,-2,-28,-2,0.0,0.2,0.08041237113402062
"jruby-1.7.0.preview1(1.5.0,1.4.0).csv",-4,-15,1,0.0,0.2,0.07439198855507868
jruby-1.7.0.preview1(1.5.0).csv,-18,-7,-50,0.0,0.0,0.06921029281277728
activemq-5.2.0(5.1.0).csv,-20,-23,-25,0.0,0.0,0.06852791878172589
"activemq-5.3.0(5.2.0,5.1.0).csv",-18,-2,2,0.0,0.2,0.06758104738154613
activemq-5.3.0(5.2.0).csv,-7,1,-31,0.0,0.2,0.06666666666666667
"activemq-5.3.0(5.2.0,5.1.0,5.0.0).csv",-31,-19,-58,0.0,0.0,0.06447234475738038
"activemq-5.2.0(5.1.0,5.0.0).csv",-16,-39,-59,0.0,0.0,0.0633108458744162
"jruby-1.7.0.preview1(1.5.0,1.4.0,1.1.0).csv",-2,1,-15,0.0,0.5,0.059574468085106386
activemq-5.1.0(5.0.0).csv,-3,-36,1,0.0,0.2,0.05785562632696391
"jruby-1.5.0(1.4.0,1.1.0).csv",-7,-11,-15,0.0,0.0,0.05316007088009451
"activemq-5.8.0(5.3.0,5.2.0,5.1.0,5.0.0).csv",-17,-20,0,0.0,0.2,0.05023604890449098
"activemq-5.8.0(5.3.0,5.2.0,5.1.0).csv",-21,1,-1,0.0,0.2,0.0479849458993257
"activemq-5.8.0(5.3.0,5.2.0).csv",-47,-31,-14,0.0,0.0,0.03880190605854323
groovy-1.6.BETA2(1.6.BETA1).csv,0,-12,-13,1.0,0.2,0.03414634146341464
"groovy-1.6.BETA2(1.6.BETA1,1.5.7).csv",-24,-3,1,0.0,0.2,0.02982233502538071
derby-10.5.1.1(10.3.1.4).csv,-6,-1,-6,0.0,0.2,0.025385312783318223
groovy-1.6.BETA1(1.5.7).csv,-31,-2,-3,0.0,0.0,0.02513227513227513
"derby-10.5.1.1(10.3.1.4,10.2.1.6).csv",0,-1,-44,1.0,0.5,0.023506836171743824
lucene-3.1.0(3.0.0).csv,0,-1,1,1.0,1.0,0.02180451127819549
derby-10.3.1.4(10.2.1.6).csv,-39,-50,2,0.0,0.2,0.021395822720326033
"lucene-3.1.0(3.0.0,2.9.0).csv",0,0,-8,1.0,0.5,0.01895910780669145
"lucene-3.1.0(3.0.0,2.9.0,2.3.0).csv",0,-1,-1,1.0,0.5,0.018894932722588034
lucene-2.9.0(2.3.0).csv,-12,-8,-1,0.0,0.0,0.0186799501867995
hive-0.12.0(0.10.0).csv,-3,-10,-56,0.0,0.0,0.017881705639614855
camel-2.11.0(2.10.0).csv,-58,-26,1,0.0,0.2,0.017766497461928935
"lucene-3.0.0(2.9.0,2.3.0).csv",-9,1,-4,0.0,0.2,0.017105871474803514
jruby-1.4.0(1.1.0).csv,-1,-2,-7,0.0,0.2,0.016597510373443983
lucene-3.0.0(2.9.0).csv,0,-4,1,1.0,0.5,0.016176470588235296
"camel-2.11.0(2.10.0,2.9.0).csv",-55,-60,-60,0.0,0.0,0.01616674460551807
"camel-2.11.0(2.10.0,2.9.0,1.4.0).csv",-14,-17,-11,0.0,0.0,0.014873725109276347
activemq-5.8.0(5.3.0).csv,-11,-29,-39,0.0,0.0,0.014786649767638362
"hive-0.12.0(0.10.0,0.9.0).csv",-5,-7,-47,0.0,0.0,0.0144248106743599
camel-2.10.0(2.9.0).csv,-58,-23,-17,0.0,0.0,0.014388489208633094
"camel-2.10.0(2.9.0,1.4.0).csv",-25,-8,0,0.0,0.2,0.012220670391061452
hive-0.10.0(0.9.0).csv,-25,-18,-30,0.0,0.0,0.01061410159211524
hbase-0.95.2(0.95.0).csv,-64,-36,-24,0.0,0.0,0.010539367637941723
"hbase-0.95.2(0.95.0,0.94.0).csv",-32,-6,-29,0.0,0.0,0.006390977443609023
camel-2.9.0(1.4.0).csv,-14,-10,-38,0.0,0.0,0.001996007984031936
