Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.0,0.175,0.825,0.0,0.0
JIRA-HA-2019,Ranked1,0.3125,0.1875,0.40625,0.0,0.09375
JIRA-RA-2019,Ranked1,0.0,0.09375,0.59375,0.0,0.3125
MA-SZZ-2020,Ranked1,0.0,0.0,0.5833333333333334,0.0,0.4166666666666667
Metrics-Repo-2010,Ranked2,0.075,0.825,0.1,0.0,0.0
JIRA-HA-2019,Ranked2,0.25,0.09375,0.125,0.53125,0.0
JIRA-RA-2019,Ranked2,0.0,0.59375,0.40625,0.0,0.0
MA-SZZ-2020,Ranked2,0.20833333333333334,0.4166666666666667,0.20833333333333334,0.0,0.16666666666666666
Metrics-Repo-2010,Ranked3,0.8,0.0,0.0,0.2,0.0
JIRA-HA-2019,Ranked3,0.09375,0.21875,0.1875,0.375,0.125
JIRA-RA-2019,Ranked3,0.65625,0.09375,0.0,0.0,0.25
MA-SZZ-2020,Ranked3,0.5833333333333334,0.0,0.20833333333333334,0.20833333333333334,0.0
