fileName,Ranked1,Ranked2,Ranked3,Top1_overlap,Top3_overlap,IL/Ins
"flume-1.5.2(1.5.1,1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",-1,-29,-3,0.0,0.2,0.05723630417007359
"zeppelin-0.7.3(0.7.2,0.7.1,0.7.0,0.6.2).csv",-2,-5,2,0.0,0.5,0.05708661417322835
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2).csv",0,-1,1,1.0,1.0,0.05660377358490566
"zeppelin-0.7.3(0.7.2,0.7.1).csv",-13,-1,-28,0.0,0.2,0.05602923264311815
"flume-1.5.0(1.4.0,1.3.1).csv",-2,-17,1,0.0,0.5,0.05461165048543689
"flume-1.5.1(1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",-13,-5,-28,0.0,0.0,0.05368098159509203
zeppelin-0.7.2(0.7.1).csv,-36,-40,-21,0.0,0.0,0.05365853658536585
zeppelin-0.5.6(0.5.5).csv,-23,-32,-26,0.0,0.0,0.05357142857142857
"flume-1.7.0(1.6.0,1.5.2,1.5.1,1.5.0,1.4.0).csv",-2,1,-2,0.0,0.5,0.053462940461725394
"zeppelin-0.7.3(0.7.2,0.7.1,0.7.0).csv",0,0,-16,1.0,0.5,0.052845528455284556
"flume-1.7.0(1.6.0,1.5.2,1.5.1,1.5.0,1.4.0,1.3.1).csv",-2,-5,-1,0.0,0.2,0.0528169014084507
"flume-1.7.0(1.6.0,1.5.2,1.5.1,1.5.0).csv",0,-12,-1,1.0,0.2,0.052083333333333336
"flume-1.7.0(1.6.0,1.5.2,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0).csv",0,-4,1,1.0,0.5,0.052024922118380064
"flume-1.5.0(1.4.0,1.3.1,1.3.0).csv",-17,-42,2,0.0,0.2,0.051926298157453935
"zeppelin-0.6.0(0.5.6,0.5.5).csv",-31,-15,-31,0.0,0.0,0.05056179775280899
"zeppelin-0.5.6(0.5.5,0.5.0).csv",-40,-36,-26,0.0,0.0,0.050505050505050504
"flume-1.7.0(1.6.0,1.5.2,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",0,-37,-26,1.0,0.2,0.05025847214244687
"zeppelin-0.7.2(0.7.1,0.7.0).csv",-1,-34,-19,0.0,0.2,0.050061050061050064
"zeppelin-0.6.0(0.5.6,0.5.5,0.5.0).csv",-42,0,-5,0.0,0.2,0.049484536082474224
flume-1.4.0(1.3.1).csv,-9,-5,-5,0.0,0.0,0.04851752021563342
zeppelin-0.6.0(0.5.6).csv,0,-36,-31,1.0,0.2,0.047872340425531915
"flume-1.5.0(1.4.0,1.3.1,1.3.0,1.2.0).csv",-7,-8,1,0.0,0.2,0.047748976807639835
"flume-1.4.0(1.3.1,1.3.0).csv",-6,-1,-30,0.0,0.2,0.04723346828609987
zeppelin-0.5.5(0.5.0).csv,-5,1,-21,0.0,0.2,0.046511627906976744
zeppelin-0.7.1(0.7.0).csv,-1,-1,-18,0.0,0.5,0.04645476772616137
flume-1.3.1(1.3.0).csv,-33,0,-5,0.0,0.2,0.04594594594594595
"flume-1.7.0(1.6.0,1.5.2,1.5.1).csv",0,0,-3,1.0,0.5,0.045871559633027525
"flume-1.8.0(1.7.0,1.6.0,1.5.2,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0).csv",-2,0,-7,0.0,0.5,0.044261860588391204
"flume-1.8.0(1.7.0,1.6.0,1.5.2,1.5.1,1.5.0,1.4.0,1.3.1).csv",-2,1,-40,0.0,0.5,0.044078754040552455
"flume-1.8.0(1.7.0,1.6.0,1.5.2,1.5.1,1.5.0,1.4.0).csv",-43,1,-13,0.0,0.2,0.04353562005277045
"flume-1.8.0(1.7.0,1.6.0,1.5.2,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",0,-1,-10,1.0,0.5,0.04326328800988875
"flume-1.4.0(1.3.1,1.3.0,1.2.0).csv",-1,-6,-2,0.0,0.2,0.04244817374136229
"flume-1.8.0(1.7.0,1.6.0,1.5.2,1.5.1,1.5.0).csv",-3,-37,-39,0.0,0.0,0.0407134548274525
"flume-1.3.1(1.3.0,1.2.0).csv",0,-42,-4,1.0,0.2,0.03894080996884735
"flume-1.7.0(1.6.0,1.5.2).csv",-7,0,-10,0.0,0.2,0.033783783783783786
"flume-1.8.0(1.7.0,1.6.0,1.5.2,1.5.1).csv",-8,-42,-10,0.0,0.0,0.03350885591191958
flume-1.3.0(1.2.0).csv,-28,-42,-31,0.0,0.0,0.029411764705882353
"flume-1.8.0(1.7.0,1.6.0,1.5.2).csv",0,0,-2,1.0,0.5,0.021888680425265792
maven-3.0.5(3.0.4).csv,-39,-15,-31,0.0,0.0,0.013215859030837005
"maven-3.1.0(3.0.5,3.0.4).csv",-9,-6,-10,0.0,0.0,0.013215859030837005
maven-3.1.0(3.0.5).csv,-8,0,-25,0.0,0.2,0.013215859030837005
"maven-3.1.0(3.0.5,3.0.4,3.0.3).csv",-30,-2,-39,0.0,0.0,0.01224889759921607
"maven-3.1.0(3.0.5,3.0.4,3.0.3,3.0.2).csv",-3,-23,-11,0.0,0.0,0.011769032732622288
"maven-3.0.5(3.0.4,3.0.3).csv",-10,-30,-10,0.0,0.0,0.011764705882352941
"maven-3.0.5(3.0.4,3.0.3,3.0.2).csv",-9,-9,-25,0.0,0.0,0.011285574092247301
"maven-3.1.0(3.0.5,3.0.4,3.0.3,3.0.2,3.0.1).csv",-6,1,-16,0.0,0.2,0.011222681630242174
"maven-3.0.5(3.0.4,3.0.3,3.0.2,3.0.1).csv",-11,-5,1,0.0,0.2,0.010720887245841035
"maven-3.1.0(3.0.5,3.0.4,3.0.3,3.0.2,3.0.1,3.0.0).csv",-10,-7,0,0.0,0.2,0.010617283950617284
maven-3.0.3(3.0.2).csv,0,-19,-24,1.0,0.2,0.01032448377581121
"maven-3.0.4(3.0.3,3.0.2).csv",-25,-27,-4,0.0,0.0,0.010316875460574797
maven-3.0.4(3.0.3).csv,-28,-20,-39,0.0,0.0,0.010309278350515464
"maven-3.1.0(3.0.5,3.0.4,3.0.3,3.0.2,3.0.1,3.0.0,2.2.1).csv",-3,-3,1,0.0,0.2,0.010290418477018065
"maven-3.0.5(3.0.4,3.0.3,3.0.2,3.0.1,3.0.0).csv",-3,-24,-21,0.0,0.0,0.010092015434847135
"maven-3.1.0(3.0.5,3.0.4,3.0.3,3.0.2,3.0.1,3.0.0,2.2.1,2.2.0).csv",-3,-1,1,0.0,0.5,0.010019185674696228
"maven-3.0.4(3.0.3,3.0.2,3.0.1).csv",0,-12,-10,1.0,0.2,0.009881422924901186
"maven-3.0.5(3.0.4,3.0.3,3.0.2,3.0.1,3.0.0,2.2.1).csv",-6,-34,2,0.0,0.2,0.009750812567713976
"maven-3.0.3(3.0.2,3.0.1).csv",-37,1,0,0.0,0.5,0.009665427509293681
"maven-3.0.5(3.0.4,3.0.3,3.0.2,3.0.1,3.0.0,2.2.1,2.2.0).csv",-5,-2,2,0.0,0.2,0.009476309226932668
"maven-3.1.1(3.1.0,3.0.5,3.0.4,3.0.3,3.0.2).csv",0,-2,-2,1.0,0.2,0.00935399006138556
"maven-3.0.4(3.0.3,3.0.2,3.0.1,3.0.0).csv",-4,-31,1,0.0,0.2,0.009300595238095238
"maven-3.1.1(3.1.0,3.0.5,3.0.4,3.0.3,3.0.2,3.0.1).csv",-1,-4,2,0.0,0.5,0.009295499021526418
"maven-3.1.1(3.1.0,3.0.5,3.0.4,3.0.3).csv",-3,1,-4,0.0,0.2,0.00911410864017499
"maven-3.1.1(3.1.0,3.0.5,3.0.4,3.0.3,3.0.2,3.0.1,3.0.0).csv",-8,-6,-28,0.0,0.0,0.00904882154882155
maven-3.0.2(3.0.1).csv,-39,-40,-5,0.0,0.0,0.008995502248875561
"maven-3.0.4(3.0.3,3.0.2,3.0.1,3.0.0,2.2.1).csv",-1,-16,2,0.0,0.5,0.008967120557954168
"maven-3.0.3(3.0.2,3.0.1,3.0.0).csv",-29,-12,2,0.0,0.2,0.008959681433549029
"maven-3.1.1(3.1.0,3.0.5,3.0.4,3.0.3,3.0.2,3.0.1,3.0.0,2.2.1).csv",0,-11,0,1.0,0.5,0.008866995073891626
"maven-3.1.1(3.1.0,3.0.5,3.0.4).csv",-1,-10,-35,0.0,0.2,0.00872093023255814
"maven-3.1.1(3.1.0,3.0.5,3.0.4,3.0.3,3.0.2,3.0.1,3.0.0,2.2.1,2.2.0).csv",0,-1,-1,1.0,0.5,0.008715000927127759
"maven-3.0.4(3.0.3,3.0.2,3.0.1,3.0.0,2.2.1,2.2.0).csv",-25,-1,-37,0.0,0.2,0.00871132472213878
"maven-3.0.3(3.0.2,3.0.1,3.0.0,2.2.1).csv",-10,1,-20,0.0,0.2,0.008576329331046312
"maven-3.0.3(3.0.2,3.0.1,3.0.0,2.2.1,2.2.0).csv",-8,-5,-17,0.0,0.0,0.00830188679245283
"maven-3.0.2(3.0.1,3.0.0).csv",-4,-6,-12,0.0,0.0,0.008264462809917356
"maven-3.0.2(3.0.1,3.0.0,2.2.1).csv",-1,-11,-28,0.0,0.2,0.007859733978234583
"maven-3.0.2(3.0.1,3.0.0,2.2.1,2.2.0).csv",-19,1,1,0.0,0.5,0.007606490872210953
maven-3.0.1(3.0.0).csv,-40,-25,-20,0.0,0.0,0.007530120481927711
"maven-3.0.1(3.0.0,2.2.1).csv",0,-1,-33,1.0,0.5,0.0070921985815602835
"maven-3.0.1(3.0.0,2.2.1,2.2.0).csv",-37,-31,-19,0.0,0.0,0.006896551724137931
"maven-3.1.1(3.1.0,3.0.5).csv",-21,1,-36,0.0,0.2,0.006507592190889371
maven-2.2.1(2.2.0).csv,-7,-41,-19,0.0,0.0,0.006289308176100629
"maven-3.0.0(2.2.1,2.2.0).csv",0,-32,-7,1.0,0.2,0.0062402496099844
maven-3.0.0(2.2.1).csv,-37,-6,-13,0.0,0.0,0.006191950464396285
shiro-1.2.1(1.2.0).csv,0,-15,1,1.0,0.5,0.0021598272138228943
"shiro-1.2.2(1.2.1,1.2.0).csv",-1,-26,-37,0.0,0.2,0.002157497303128371
shiro-1.2.2(1.2.1).csv,-1,-33,-1,0.0,0.2,0.0021551724137931034
"shiro-1.2.3(1.2.2,1.2.1,1.2.0).csv",-41,-10,-1,0.0,0.0,0.0021551724137931034
"shiro-1.2.3(1.2.2,1.2.1).csv",-39,-14,-14,0.0,0.0,0.002152852529601722
