"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","90.88","45.11","54.13","69.03","34.91","53.7","62.57","126.1"
"Metrics-Repo-2010","214.12","112.57","138.57","164.48","146.36","90.33","178.3","346.28"
"Metrics-Repo-2010","50.01","23.07","27.53","37.66","10.57","29.42","31.1","57.3"
"Metrics-Repo-2010","224.42","108.55","132.16","163.57","128.11","86.37","179.64","297.51"
"JIRA-HA-2019","29.33","3.43","2.89","10.08","5.65","98.92","64.51","35.47"
"JIRA-HA-2019","110.15","2.77","3.2","8.39","4.87","307.42","207.08","72.93"
"JIRA-HA-2019","8.91","2.56","2.12","7.55","4.24","36.48","22.72","19.73"
"JIRA-HA-2019","124.47","4.41","4.55","13.49","7.8","326.27","189.53","99.52"
"JIRA-RA-2019","6.37","2.4","2.04","6.31","4","19.28","478.11","135.62"
"JIRA-RA-2019","4.92","3.25","2.39","5.71","4","88.69","2542.42","274.7"
"JIRA-RA-2019","4.75","1.59","1.35","4.54","2.76","1.81","21.65","70.92"
"JIRA-RA-2019","8.34","4.37","3.02","8.32","5.6","84.48","2723.75","278.91"
"MA-SZZ-2020","86.74","11.11","26.48","38.28","10.18","594.31","37.9","82.74"
"MA-SZZ-2020","99.86","20.38","29.47","28.74","7.32","3020.59","55.51","130.4"
"MA-SZZ-2020","66.09","6.85","18.89","30.77","8.5","90.35","26.43","52.69"
"MA-SZZ-2020","133.7","20.57","35.26","46.64","12.63","2813.81","59.3","129.99"
