"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","9.68","5.05","54.13","69.03","9.55","56.27","10.57","21.12"
"Metrics-Repo-2010","8.51","4.57","138.57","164.48","11.82","236.34","13","27.2"
"Metrics-Repo-2010","7.47","3.82","27.53","37.66","6.47","16.01","7.42","14.89"
"Metrics-Repo-2010","12.97","6.91","132.16","163.57","13.76","209.79","16.37","34.61"
"JIRA-HA-2019","5.42","1.24","2.89","10.08","5.49","26.56","2.45","7.12"
"JIRA-HA-2019","4.23","0.92","3.2","8.39","4.78","56.77","2.37","5.96"
"JIRA-HA-2019","4.12","0.94","2.12","7.55","4.12","10.97","1.79","5.27"
"JIRA-HA-2019","7.05","1.55","4.55","13.49","7.62","54.69","3.48","9.5"
"JIRA-RA-2019","3.59","0.93","2.04","6.31","3.89","6.25","2.54","13.4"
"JIRA-RA-2019","2.77","1.22","2.39","5.71","3.95","21.06","4.32","19.08"
"JIRA-RA-2019","2.69","0.63","1.35","4.54","2.64","1.56","1.39","7.99"
"JIRA-RA-2019","4.67","1.69","3.02","8.32","5.47","17.19","4.54","21.35"
"MA-SZZ-2020","27.72","1.91","26.48","38.28","9.41","21.98","3.8","45.18"
"MA-SZZ-2020","20.93","1.16","29.47","28.74","7.14","25.33","3.05","98.66"
"MA-SZZ-2020","22.26","1.58","18.89","30.77","7.77","15.67","3.01","25.19"
"MA-SZZ-2020","34.21","2.25","35.26","46.64","11.79","30.19","4.77","83.72"
