"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","5.24","0.88","0.91","2.54","2.57","76.45","1.32","4.27"
"ECLIPSE-2007","2.83","0.88","0.72","2","1.18","3.09","1.43","4.2"
"ECLIPSE-2007","3.1","0.2","0.08","0.23","1.2","74.36","0.13","1.02"
"ECLIPSE-2007","7.03","1.44","1.33","3.71","3.24","78.33","2.24","6.94"
"Metrics-Repo-2010","10.38","7.52","36.16","42.42","9.45","26.62","15.07","32.48"
"Metrics-Repo-2010","11.78","7.94","135.94","135.37","11.41","50.45","25.13","42.41"
"Metrics-Repo-2010","7.83","5.58","16.88","23.19","6.95","16.56","10.39","22.54"
"Metrics-Repo-2010","14.46","9.95","127.48","133.76","13","42.78","25.09","46.11"
"JIRA-HA-2019","7.07","1.68","3.47","14.37","11.82","55.53","3.42","14.41"
"JIRA-HA-2019","6.48","1.79","3.34","11.78","15.62","136","3.43","17.15"
"JIRA-HA-2019","5.33","1.25","2.63","11.21","8.05","26.24","2.51","10.06"
"JIRA-HA-2019","9.36","2.42","4.79","18.55","17.84","128.14","4.72","20.95"
"JIRA-RA-2019","6.83","1.76","3.02","11.85","8.74","53.14","3.36","14.07"
"JIRA-RA-2019","7.44","1.87","3.02","12.04","7.91","106.99","4.41","21.46"
"JIRA-RA-2019","5.04","1.28","2.29","8.93","6.83","32.39","2.26","9.94"
"JIRA-RA-2019","9.52","2.43","4.25","16.58","11.61","107.41","4.85","25.33"
"MA-SZZ-2020","5.73","0.77","1.62","9.83","4.42","7.44","2.45","10.18"
"MA-SZZ-2020","7.74","1.01","2.35","12.46","6.55","22.2","2.49","12.08"
"MA-SZZ-2020","4.85","0.65","1.34","8.36","3.62","4.82","2.13","8.78"
"MA-SZZ-2020","6.98","0.95","2.01","11.71","5.46","11","2.8","12.11"
