fileName,accuracy,precision,recall,F1,AUC,ER,RI,MCC,AP,RR,Popt,ACC,IL/Ins
jruby-1.5.0(1.4.0).csv,0.757736516357206,0.502645502645503,0.6884057971014489,0.581039755351682,0.8068438003220609,0.514505095630323,1.05975385323211,0.426603976984712,0.5836692511471661,1.0,0.319444461669936,0.159420289855072,0.08041237113402062
"jruby-1.7.0.preview1(1.5.0,1.4.0).csv",0.693308550185874,0.220538720538721,0.8036809815950919,0.34610303830911504,0.8265148215954301,0.542069865773717,1.18373923281899,0.302767513596703,0.322631416643043,0.14285714285714302,0.491715276892346,0.214723926380368,0.07439198855507868
jruby-1.7.0.preview1(1.5.0).csv,0.6871127633209421,0.21782178217821804,0.809815950920245,0.34330299089726896,0.8195891980567659,0.536358003830123,1.15683654254996,0.30063403153207896,0.28456413247025003,0.0769230769230769,0.485152996036806,0.208588957055215,0.06921029281277728
activemq-5.2.0(5.1.0).csv,0.8093137254901959,0.20987654320987695,0.551948051948052,0.304114490161002,0.7668603930533942,0.640311418685121,1.78018278018278,0.253176123033532,0.289861206412117,0.33333333333333304,0.4861848882454021,0.233766233766234,0.06852791878172589
"activemq-5.3.0(5.2.0,5.1.0).csv",0.855090832277144,0.234828496042216,0.626760563380282,0.341650671785029,0.8538882734609909,0.7445303636613929,2.91435950797131,0.321465006171416,0.3390157703771089,1.0,0.583980678740312,0.274647887323944,0.06758104738154613
activemq-5.3.0(5.2.0).csv,0.8580481622306719,0.24607329842931894,0.661971830985915,0.35877862595419896,0.858235480297515,0.75620455015326,3.1017992773394303,0.343751245892031,0.347446399089931,1.0,0.595716946614011,0.274647887323944,0.06666666666666667
"activemq-5.3.0(5.2.0,5.1.0,5.0.0).csv",0.77482044782425,0.17898193760262698,0.767605633802817,0.290279627163782,0.845803133407185,0.6648178509552221,1.98345243877055,0.294917243791265,0.321051434057228,1.0,0.567093982362239,0.24647887323943696,0.06447234475738038
"activemq-5.2.0(5.1.0,5.0.0).csv",0.758823529411765,0.179924242424242,0.616883116883117,0.278592375366569,0.7561199405048821,0.5804334365325079,1.38341204250295,0.23360499985792305,0.295705199059325,1.0,0.460544771913002,0.201298701298701,0.0633108458744162
"jruby-1.7.0.preview1(1.5.0,1.4.0,1.1.0).csv",0.688971499380421,0.217970049916805,0.8036809815950919,0.34293193717277504,0.827578188091141,0.536673382710444,1.15830466604739,0.299030450515147,0.320600942954729,0.166666666666667,0.487923778900506,0.214723926380368,0.059574468085106386
activemq-5.1.0(5.0.0).csv,0.8197969543147209,0.214285714285714,0.58273381294964,0.313346228239845,0.820192999068795,0.67072758037225,2.03699897225077,0.273481785140015,0.3614041415512461,1.0,0.5420133993485171,0.287769784172662,0.05785562632696391
"jruby-1.5.0(1.4.0,1.1.0).csv",0.7692307692307689,0.5210084033613449,0.673913043478261,0.5876777251184829,0.8074031697601491,0.531616325832121,1.13500182681768,0.437957201411753,0.5768398396226291,1.0,0.311832713664348,0.144927536231884,0.05316007088009451
"activemq-5.8.0(5.3.0,5.2.0,5.1.0,5.0.0).csv",0.7055555555555559,0.136528028933092,0.7438423645320201,0.230710466004584,0.804003056422852,0.5652414701212191,1.30012738399594,0.22578978000135105,0.208453191507743,0.0526315789473684,0.4980822696124289,0.201970443349754,0.05023604890449098
