"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","4.26","0.53","6.36","8.5","1.03","0.62","19.67","6.72"
"Metrics-Repo-2010","7.2","0.53","13.01","13.3","1.25","3.95","91.17","11.48"
"Metrics-Repo-2010","2.77","0.41","3.67","5.52","0.75","0","4.76","3.56"
"Metrics-Repo-2010","8.68","0.77","13.02","14.91","1.61","1.87","92.16","10.69"
"JIRA-HA-2019","1.54","0.19","0.66","2.36","1.64","11.52","1.89","9.95"
"JIRA-HA-2019","1.5","0.16","0.59","2.05","2.06","26.68","3.76","35.12"
"JIRA-HA-2019","1.16","0.14","0.47","1.8","1.11","4.39","1.06","3.15"
"JIRA-HA-2019","2.28","0.25","0.86","3.25","2.63","23.89","4.35","35.84"
"JIRA-RA-2019","0.94","0.11","0.8","2.4","1.19","10.94","0.99","3.04"
"JIRA-RA-2019","0.68","0.13","0.74","1.57","0.91","27.96","1.63","4.82"
"JIRA-RA-2019","0.73","0.08","0.58","1.92","0.89","3.65","0.6","1.74"
"JIRA-RA-2019","1.19","0.18","1.12","2.96","1.54","23.44","1.78","5.27"
"MA-SZZ-2020","3.48","0.42","1.5","4.67","2.45","8.98","0.91","6.23"
"MA-SZZ-2020","2.81","0.37","1.53","4.78","2.88","19.65","0.56","8.09"
"MA-SZZ-2020","2.67","0.32","1.16","3.55","1.83","4.34","0.77","4.27"
"MA-SZZ-2020","4.32","0.53","2.02","6.41","3.68","15.52","1.1","8.84"
