"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","133.16","3.15","6.36","8.5","1.44","0.53","58.24","7.56"
"Metrics-Repo-2010","460.84","7.47","13.01","13.3","1.39","3.36","267.63","16.51"
"Metrics-Repo-2010","34.21","1.58","3.67","5.52","1.11","0","10.08","4.11"
"Metrics-Repo-2010","359.36","7.19","13.02","14.91","1.97","1.59","307.72","15.26"
"JIRA-HA-2019","2.84","0.51","0.66","2.36","1.68","58.22","34.96","25.75"
"JIRA-HA-2019","2.94","0.45","0.59","2.05","2.06","238.07","96.75","75.5"
"JIRA-HA-2019","2.05","0.38","0.47","1.8","1.15","12.13","13.32","8.75"
"JIRA-HA-2019","4.27","0.69","0.86","3.25","2.67","235.26","84.51","80.95"
"JIRA-RA-2019","1.92","0.29","0.8","2.4","1.24","56.56","3.97","32.43"
"JIRA-RA-2019","1.76","0.39","0.74","1.57","0.93","183.8","6.53","97.55"
"JIRA-RA-2019","1.47","0.21","0.58","1.92","0.94","15.46","2.37","9.94"
"JIRA-RA-2019","2.66","0.51","1.12","2.96","1.6","176.65","7.73","97.91"
"MA-SZZ-2020","12.18","1.2","1.5","4.67","2.63","51.95","38.24","54.35"
"MA-SZZ-2020","15.77","1","1.53","4.78","2.93","175.08","151.66","149.69"
"MA-SZZ-2020","8.62","0.93","1.16","3.55","1.98","14.43","14.34","28.16"
"MA-SZZ-2020","18.02","1.49","2.02","6.41","3.84","131.9","125.43","158.58"
