"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","8.96","4.12","45.68","47.82","6.57","24.49","13.63","32.06"
"Metrics-Repo-2010","8.78","3.65","138.44","118.32","7.95","44.13","19.86","35.9"
"Metrics-Repo-2010","6.82","3.19","20.28","25.15","4.86","13.34","8.9","23.78"
"Metrics-Repo-2010","12.39","5.63","129.54","115.3","11.39","43.74","21.67","45.27"
"JIRA-HA-2019","5.53","1.02","2.12","7.79","3.83","29.17","3.15","9.55"
"JIRA-HA-2019","4.05","0.75","1.49","4.66","3.76","56.48","3.24","9.47"
"JIRA-HA-2019","4.28","0.8","1.66","6.34","2.76","14.06","2.22","6.77"
"JIRA-HA-2019","7.17","1.3","2.69","9.61","5.49","55.66","4.43","13.97"
"JIRA-RA-2019","3.42","0.83","1.52","5.19","4.1","6.25","2.79","9.99"
"JIRA-RA-2019","2.49","0.7","1.36","3.83","4.54","16.8","2.85","10.05"
"JIRA-RA-2019","2.71","0.63","1.13","3.96","2.82","1.56","1.93","6.89"
"JIRA-RA-2019","4.43","1.11","2.13","6.69","6.2","10.94","3.93","14.13"
"MA-SZZ-2020","24.94","1.2","39.68","39.21","7.95","41.43","4.72","29.98"
"MA-SZZ-2020","21.98","1.18","59.68","33.76","7.86","44.13","3.35","27.93"
"MA-SZZ-2020","19.13","0.91","24.4","30.58","6.08","31.4","3.82","22.96"
"MA-SZZ-2020","32.23","1.62","58.62","49.77","10.48","57.01","5.62","38.93"
