"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","85.05","35.8","45.68","47.82","13.44","52.62","66.31","82.75"
"Metrics-Repo-2010","217.07","86.99","138.44","118.32","29.09","103.36","136.76","116.26"
"Metrics-Repo-2010","37.32","18.58","20.28","25.15","7.93","28.02","38.84","54.79"
"Metrics-Repo-2010","211.1","84.31","129.54","115.3","32.02","99.92","142.43","133.53"
"JIRA-HA-2019","31.05","2.75","2.12","7.79","3.94","102.14","147.84","42.77"
"JIRA-HA-2019","122.05","2.01","1.49","4.66","3.78","306.62","632.71","65.63"
"JIRA-HA-2019","8.63","2.13","1.66","6.34","2.86","40.04","28.91","26.47"
"JIRA-HA-2019","137.53","3.48","2.69","9.61","5.6","329.81","494.9","76.93"
"JIRA-RA-2019","6.07","2.12","1.52","5.19","4.21","8.75","351.99","96.72"
"JIRA-RA-2019","4.54","1.85","1.36","3.83","4.57","23.93","1844.44","194.18"
"JIRA-RA-2019","4.85","1.58","1.13","3.96","2.93","2.17","22.53","51.56"
"JIRA-RA-2019","8.1","2.8","2.13","6.69","6.32","19.19","1979.31","217.89"
"MA-SZZ-2020","69.55","7.9","39.68","39.21","8.4","1089.54","71.59","125.59"
"MA-SZZ-2020","77.86","23.13","59.68","33.76","7.98","5971.3","123.23","216.13"
"MA-SZZ-2020","52.6","4.16","24.4","30.58","6.5","110.27","47.52","84.17"
"MA-SZZ-2020","101.43","23.78","58.62","49.77","10.99","5496.85","126.45","213.63"
