"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","13.78","2.62","0.74","2.1","0.64","76.38","13.61","11.52"
"ECLIPSE-2007","11.97","1.24","0.72","2.03","0.65","35.15","4.76","3.41"
"ECLIPSE-2007","0.11","1.38","0.05","0.13","0.25","42.02","8.27","8.29"
"ECLIPSE-2007","20.03","3.44","1.22","3.45","1.02","99.8","15.91","13.78"
"Metrics-Repo-2010","57.69","17.86","16.71","23.83","11.91","159.46","83.24","116.79"
"Metrics-Repo-2010","133.16","27.9","20.45","21.38","13.16","479.08","130.73","240.18"
"Metrics-Repo-2010","34.94","13.1","12.27","18.6","8.88","84.41","57.13","72.79"
"Metrics-Repo-2010","123.07","30.18","22.95","29.72","15.77","424.8","132.81","218.55"
"JIRA-HA-2019","10.15","4.2","3.32","12.77","11.66","72.17","123.36","57.19"
"JIRA-HA-2019","7.97","3.72","3.69","10.45","14.77","138.75","405.07","76.39"
"JIRA-HA-2019","8.12","3.29","2.48","10.23","8.1","39.34","39.42","38.66"
"JIRA-HA-2019","12.97","5.54","4.95","16.56","17.62","129.75","335.58","88.16"
"JIRA-RA-2019","11.52","3.72","3.57","12.8","7.45","194.15","135.63","139.3"
"JIRA-RA-2019","10.86","4.35","4.11","9.92","6.25","555.04","553.05","367.19"
"JIRA-RA-2019","8.68","2.69","2.59","10.3","5.72","77.13","21.43","62.52"
"JIRA-RA-2019","15.69","5.44","5.09","16.39","9.53","554.03","471.12","309.83"
"MA-SZZ-2020","7.5","1.74","1.45","9.03","4.39","133.79","6.32","25.75"
"MA-SZZ-2020","10.57","2.76","1.74","9.7","6.51","1782.36","8.43","47.79"
"MA-SZZ-2020","6.34","1.43","1.24","7.83","3.54","7.95","5.35","20.07"
"MA-SZZ-2020","9.35","2.23","1.72","10.57","5.25","755.37","7.76","33.74"
