"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","4.71","0.91","0.74","2.1","0.61","65.48","2.34","5.77"
"ECLIPSE-2007","4.18","0.44","0.72","2.03","0.62","13.52","1.09","2.87"
"ECLIPSE-2007","0.05","0.45","0.05","0.13","0.24","50","1.1","2.46"
"ECLIPSE-2007","7.41","1.2","1.22","3.45","0.97","73.81","3.02","7.35"
"Metrics-Repo-2010","9.16","5.7","16.71","23.83","9.3","40.86","11.7","30.67"
"Metrics-Repo-2010","8.35","7.11","20.45","21.38","12.55","88.2","11.59","50.63"
"Metrics-Repo-2010","7.39","4.29","12.27","18.6","6.55","26.65","9.01","21.46"
"Metrics-Repo-2010","11.67","7.87","22.95","29.72","13.09","84.98","15.19","52.52"
"JIRA-HA-2019","6.58","1.72","3.32","12.77","11.44","32.5","4.41","23.96"
"JIRA-HA-2019","5.21","1.48","3.69","10.45","14.55","48.24","3.92","43.27"
"JIRA-HA-2019","5.23","1.37","2.48","10.23","7.95","19.77","3.47","15.5"
"JIRA-HA-2019","8.51","2.25","4.95","16.56","17.36","48.31","6.05","53.02"
"JIRA-RA-2019","7.02","1.46","3.57","12.8","7.27","64.05","2.94","11.94"
"JIRA-RA-2019","5.98","1.6","4.11","9.92","6.14","124.78","2.94","14.57"
"JIRA-RA-2019","5.42","1.09","2.59","10.3","5.61","38.08","2.21","8.75"
"JIRA-RA-2019","9.24","2.09","5.09","16.39","9.34","117.19","4.05","18.11"
"MA-SZZ-2020","5.34","0.82","1.45","9.03","4.28","4.92","2.31","10.47"
"MA-SZZ-2020","6.13","1.27","1.74","9.7","6.44","18.6","2.58","13.18"
"MA-SZZ-2020","4.57","0.67","1.24","7.83","3.45","2.92","1.99","8.76"
"MA-SZZ-2020","6.32","1.04","1.72","10.57","5.14","8.36","2.69","12.41"
