fileName,accuracy,precision,recall,F1,AUC,ER,RI,AP,RR,Popt,ACC
ant-1.4(1.3).csv,0.648809523809524,0.269230769230769,0.4,0.32183908045977,0.6331901181525239,0.226190476190476,0.29230769230769205,0.305204816478781,0.5,0.336037300667799,0.0857142857142857
ant-1.5(1.4).csv,0.721014492753623,0.247311827956989,0.766666666666667,0.3739837398373979,0.7717479674796751,0.5604914933837429,1.2752688172043,0.29488163985720195,0.33333333333333304,0.665335137728722,0.33333333333333304
"ant-1.5(1.4,1.3).csv",0.7282608695652171,0.247191011235955,0.733333333333333,0.369747899159664,0.7899728997289971,0.560276679841897,1.27415730337079,0.34069680875292196,0.5,0.641427825110737,0.3
ant-1.6(1.5).csv,0.766272189349112,0.5327102803738321,0.6627906976744189,0.5906735751295339,0.793696936138797,0.522371016298142,1.09367528798087,0.5540081724741629,1.0,0.476599982458188,0.162790697674419
"ant-1.6(1.5,1.4).csv",0.766272189349112,0.52991452991453,0.7209302325581389,0.610837438423645,0.797734403839055,0.51985111662531,1.08268733850129,0.5609893399031189,1.0,0.523054706281695,0.19767441860465101
"ant-1.6(1.5,1.4,1.3).csv",0.7603550295857991,0.522522522522523,0.6744186046511629,0.588832487309645,0.815107050572167,0.513058559477658,1.05363503037922,0.6014318960902609,1.0,0.5397379018473459,0.162790697674419
ant-1.7(1.6).csv,0.7885402455661659,0.51131221719457,0.70625,0.593175853018373,0.827770506108202,0.573096379287448,1.3424490950226202,0.5975805300002679,1.0,0.44816605398258097,0.1375
"ant-1.7(1.6,1.5).csv",0.763983628922237,0.47111111111111104,0.6625,0.55064935064935,0.821956806282722,0.536667610491905,1.15827777777778,0.597153776673347,1.0,0.465312547209443,0.15
"ant-1.7(1.6,1.5,1.4).csv",0.7326057298772171,0.428,0.66875,0.521951219512195,0.796651396160558,0.48999757748849293,0.960775,0.550108465155424,1.0,0.468034672139401,0.14375
"ant-1.7(1.6,1.5,1.4,1.3).csv",0.7448840381991809,0.444897959183673,0.68125,0.538271604938272,0.802454188481675,0.509368311701315,1.0381887755102,0.5699845357505811,1.0,0.468528218214247,0.15
camel-1.2(1.0).csv,0.710629921259842,0.5367647058823529,0.464968152866242,0.498293515358362,0.715008982524906,0.42422608132887496,0.7367928062944921,0.5635228352079611,1.0,0.42319029639947,0.15286624203821697
camel-1.4(1.2).csv,0.753481894150418,0.3529411764705879,0.540983606557377,0.42718446601941795,0.753988337550886,0.518570102135562,1.0771456123433,0.41504811329787394,0.5,0.484040703728576,0.172131147540984
"camel-1.4(1.2,1.0).csv",0.756267409470752,0.35675675675675705,0.540983606557377,0.42996742671009797,0.7433504786005061,0.5237190850004221,1.09960124058485,0.4163501502041861,0.5,0.476500802425206,0.18032786885245897
camel-1.6(1.4).csv,0.721271393643032,0.295019157088123,0.6363636363636359,0.403141361256545,0.744969586302572,0.498602864128536,0.994427028909788,0.330216162664708,1.0,0.42842424885796504,0.115702479338843
"camel-1.6(1.4,1.2).csv",0.746943765281174,0.31304347826087,0.59504132231405,0.41025641025640996,0.767403393528345,0.527472154305895,1.11627739849084,0.38869024513436695,0.5,0.497670962349193,0.15702479338842998
"camel-1.6(1.4,1.2,1.0).csv",0.740831295843521,0.299559471365639,0.56198347107438,0.390804597701149,0.773818134389414,0.506202358694089,1.02512105435614,0.407198177577392,0.5,0.499592877331279,0.190082644628099
jedit-4.0(3.2).csv,0.749090909090909,0.485436893203884,0.7575757575757579,0.591715976331361,0.830107293025953,0.5056,1.02265372168285,0.653218770597721,1.0,0.586673068660528,0.15151515151515196
jedit-4.1(4.0).csv,0.7272727272727271,0.472222222222222,0.708333333333333,0.566666666666667,0.8170430944963659,0.466886055121349,0.8757716049382719,0.6136057335008149,1.0,0.493053418753851,0.138888888888889
"jedit-4.1(4.0,3.2).csv",0.744755244755245,0.495495495495495,0.7638888888888891,0.601092896174863,0.8419652128764279,0.491926255562619,0.9682182182182181,0.691405896458407,1.0,0.356244467720081,0.0694444444444444
jedit-4.2(4.1).csv,0.759887005649718,0.33613445378151297,0.8695652173913041,0.484848484848485,0.8863636363636359,0.6134180790960451,1.5867738399707698,0.6024802134480339,1.0,0.532435276447824,0.0869565217391304
"jedit-4.2(4.1,4.0).csv",0.7683615819209041,0.34482758620689696,0.8695652173913041,0.493827160493827,0.8872811970638059,0.6231638418079101,1.65367316341829,0.5953424060532211,1.0,0.571764786875563,0.21739130434782603
"jedit-4.2(4.1,4.0,3.2).csv",0.742937853107345,0.32,0.8695652173913041,0.46783625730994205,0.8741530208921509,0.5939265536723161,1.4626086956521698,0.574225597868087,1.0,0.528881983033057,0.152173913043478
jedit-4.3(4.2).csv,0.7942386831275721,0.0594059405940594,0.545454545454545,0.107142857142857,0.6099521531100479,0.618998628257888,1.62466246624662,0.18505736102209303,0.33333333333333304,0.486650582789386,0.36363636363636404
"jedit-4.3(4.2,4.1).csv",0.6995884773662551,0.0469798657718121,0.6363636363636359,0.0875,0.5913875598086121,0.518224573780129,1.07565588773642,0.223779741143769,1.0,0.437742828910731,0.272727272727273
"jedit-4.3(4.2,4.1,4.0).csv",0.681069958847737,0.0443037974683544,0.6363636363636359,0.0828402366863905,0.590047846889952,0.4891240446796,0.957422324510932,0.182817871459685,0.5,0.46886016996110996,0.272727272727273
"jedit-4.3(4.2,4.1,4.0,3.2).csv",0.660493827160494,0.0416666666666667,0.6363636363636359,0.0782122905027933,0.58488038277512,0.45679012345679,0.8409090909090909,0.179698505224168,0.5,0.46109938231790504,0.272727272727273
