Dataset,5,4,3,2,1,0
Metrics-Repo-2010,5.0,3.0,1.0,0.0,0.0,9.0
JIRA-HA-2019,6.0,5.0,1.0,1.0,3.0,2.0
JIRA-RA-2019,8.0,2.0,0.0,1.0,4.0,3.0
MA-SZZ-2020,4.0,1.0,2.0,1.0,3.0,7.0
