Dataset,shift(1)!=0,shift(2)!=0,shift(3)!=0,low Top-1 Agreement,low Top-3 Agreement
ECLIPSE-2007,1.0,1.0,1.0,1.0,1.0
Metrics-Repo-2010,0.7894736842105263,0.8596491228070176,0.9649122807017544,0.7894736842105263,1.0
JIRA-HA-2019,0.7435897435897436,0.8974358974358975,0.8974358974358975,0.7435897435897436,0.9230769230769231
JIRA-RA-2019,0.8095238095238095,0.8571428571428571,0.9523809523809523,0.8095238095238095,0.9761904761904762
MA-SZZ-2020,0.6731707317073171,0.848780487804878,0.8585365853658536,0.6731707317073171,0.9609756097560975
IND-JLMIV+R-2020,0.7668918918918919,0.8783783783783784,0.9087837837837838,0.7668918918918919,0.9695945945945946
ECLIPSE-2007,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
Metrics-Repo-2010,0.631578947368421,0.8421052631578947,0.9122807017543859,0.631578947368421,0.9122807017543859
JIRA-HA-2019,0.717948717948718,0.7948717948717948,0.8717948717948718,0.717948717948718,0.9230769230769231
JIRA-RA-2019,0.6666666666666666,0.8809523809523809,0.9285714285714286,0.6666666666666666,0.9523809523809523
MA-SZZ-2020,0.5463414634146342,0.7365853658536585,0.7902439024390244,0.5463414634146342,0.7853658536585366
IND-JLMIV+R-2020,0.7804054054054054,0.8783783783783784,0.8952702702702703,0.7804054054054054,0.9527027027027027
ECLIPSE-2007,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
Metrics-Repo-2010,0.6491228070175439,0.8070175438596491,0.8771929824561403,0.6491228070175439,0.9473684210526315
JIRA-HA-2019,0.6923076923076923,0.6923076923076923,0.8717948717948718,0.6923076923076923,0.9487179487179487
JIRA-RA-2019,0.6666666666666666,0.8095238095238095,0.8333333333333334,0.6666666666666666,0.8333333333333334
MA-SZZ-2020,0.5219512195121951,0.6487804878048781,0.6780487804878049,0.5219512195121951,0.7219512195121951
IND-JLMIV+R-2020,0.7398648648648649,0.8243243243243243,0.847972972972973,0.7398648648648649,0.9358108108108109
ECLIPSE-2007,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0
Metrics-Repo-2010,0.9122807017543859,1.0,1.0,0.9122807017543859,0.9824561403508771
JIRA-HA-2019,0.8974358974358975,1.0,0.9230769230769231,0.8974358974358975,0.9743589743589743
JIRA-RA-2019,0.8571428571428571,0.9523809523809523,1.0,0.8571428571428571,1.0
MA-SZZ-2020,0.7463414634146341,0.8585365853658536,0.9414634146341463,0.7463414634146341,0.9707317073170731
