Dataset,c,20%SLOC,10%,20%,30%
Metrics-Repo-2010,0.16025641025641024,0.3333333333333333,0.2928571428571428,0.24038461538461542,0.15461049284578693
JIRA-HA-2019,0.09761904761904762,0.149468085106383,0.12196969696969696,0.08487707261292167,0.07744713320252888
JIRA-RA-2019,0.14789915966386555,0.16412466843501328,0.11919191919191918,0.08617622031407134,0.06095437129919889
MA-SZZ-2020,0.2307692307692308,0.2727272727272727,0.1654228855721393,0.125,0.09475749929913094
Metrics-Repo-2010,0.25,0.4230769230769231,0.4037037037037037,0.31666666666666665,0.22996794871794873
JIRA-HA-2019,0.3724137931034483,0.351169383416017,0.22967032967032966,0.21059113300492616,0.1810515873015873
JIRA-RA-2019,0.15587044534412955,0.16542207792207791,0.12730214036834248,0.08009118541033436,0.07003184713375796
MA-SZZ-2020,0.2222222222222222,0.179144385026738,0.09401709401709402,0.16666666666666666,0.1539473684210526
Metrics-Repo-2010,0.51,0.7386363636363636,0.6781609195402298,0.5714285714285714,0.4610323886639677
JIRA-HA-2019,0.19642857142857142,0.17549261083743845,0.125,0.13392857142857142,0.11206454918032788
JIRA-RA-2019,0.08989898989898991,0.14039408866995073,0.07585347142309168,0.13079975579975578,0.10336395969176052
MA-SZZ-2020,0.5227272727272727,0.3431372549019608,0.3103448275862069,0.22569444444444442,0.2287581699346405
Metrics-Repo-2010,0.1366546618647459,0.38585607940446653,0.32291666666666663,0.2838827838827839,0.18181818181818185
JIRA-HA-2019,0.14717409240924093,0.24795081967213115,0.16228070175438597,0.1348752598752599,0.09805480792757523
JIRA-RA-2019,0.09940720474236206,0.25,0.14285714285714285,0.09815384615384616,0.0733710850111857
MA-SZZ-2020,0.2689379520365436,0.31009615384615385,0.3205128205128205,0.1913109756097561,0.13194444444444445
Metrics-Repo-2010,0.19483805668016196,0.4,0.3951219512195122,0.3057448880233691,0.2
JIRA-HA-2019,0.13762626262626262,0.22902097902097907,0.18309178743961352,0.12208672086720868,0.09090909090909093
JIRA-RA-2019,0.09745054945054946,0.2765957446808511,0.17288557213930347,0.10854123354123354,0.07209229073155365
MA-SZZ-2020,0.3333333333333333,0.35714285714285715,0.3524844720496894,0.3012123745819398,0.18181818181818185
Metrics-Repo-2010,0.4,0.6431818181818182,0.6206773618538324,0.4861251457442674,0.3926605504587156
JIRA-HA-2019,0.242454954954955,0.3603896103896104,0.2907444668008048,0.20204081632653065,0.11585658134407055
JIRA-RA-2019,0.16707577797133583,0.4142156862745098,0.3222222222222222,0.16156462585034015,0.11960916442048516
MA-SZZ-2020,0.35857142857142854,0.6547619047619048,0.6099033816425121,0.4037037037037037,0.26969696969696966
Metrics-Repo-2010,0.04655172413793104,0.08116883116883117,0.03851851851851852,0.04257246376811594,0.03518518518518518
JIRA-HA-2019,0.0,0.14973262032085563,0.00939484827099506,0.0,0.0023923444976076554
JIRA-RA-2019,0.0077036599763872496,0.37857142857142856,0.0,0.0,0.0015337423312883436
MA-SZZ-2020,0.05882352941176471,0.1111111111111111,0.0,0.021780303030303032,0.0
Metrics-Repo-2010,0.09447415329768272,0.125,0.09679937548790007,0.11437908496732024,0.028664731494920173
JIRA-HA-2019,0.19523809523809524,0.18321678321678325,0.11274198667089812,0.08097866766467066,0.06591191066997518
JIRA-RA-2019,0.0897306918433679,0.0717948717948718,0.034523809523809526,0.02977685828284321,0.022472617398967644
MA-SZZ-2020,0.09090909090909093,0.0,0.125,0.0,0.055050505050505044
Metrics-Repo-2010,0.46944444444444444,0.6305555555555555,0.4722222222222222,0.4023809523809524,0.34328968903436985
JIRA-HA-2019,0.08513708513708515,0.07864493996569469,0.05411255411255411,0.05211141060197664,0.02511760752688172
JIRA-RA-2019,0.026419626007891578,0.008771929824561403,0.013891568589619908,0.005563263041065482,0.0033645276292335125
MA-SZZ-2020,0.4722222222222222,0.30958385876418665,0.35357142857142854,0.22539682539682537,0.14285714285714285
Metrics-Repo-2010,0.041601798996713374,0.0,0.10263157894736842,0.07275132275132275,0.041666666666666664
JIRA-HA-2019,0.02533269199935867,0.4226371951219512,0.03225806451612903,0.008826472269868497,0.008529326364692218
JIRA-RA-2019,0.02561784806102988,0.4613891285591027,0.021739130434782608,0.013943847748257018,0.008812111801242237
MA-SZZ-2020,0.03684448462929475,0.19090909090909092,0.041666666666666664,0.03425058548009367,0.0
Metrics-Repo-2010,0.0859704641350211,0.13142857142857142,0.15192307692307694,0.07916666666666666,0.05941176470588236
JIRA-HA-2019,0.07756132756132755,0.10882352941176471,0.07388042736985678,0.054545454545454536,0.04118217054263566
JIRA-RA-2019,0.0795639771801141,0.1282894736842105,0.06061224489795918,0.03902173913043479,0.025258323765786447
MA-SZZ-2020,0.07692307692307693,0.2,0.15894736842105261,0.0836734693877551,0.02985074626865672
Metrics-Repo-2010,0.10347903657448707,0.23214285714285715,0.13392857142857142,0.13148148148148148,0.08633540372670807
JIRA-HA-2019,0.13076923076923075,0.125,0.05952380952380952,0.050423728813559325,0.056243414120126456
JIRA-RA-2019,0.11964179611238435,0.24855699855699856,0.10581023454157781,0.08264271225731672,0.05477408354646207
