Dataset,c,20%SLOC,10%,20%,30%
ECLIPSE-2007,0.09472212385169569,0.09869924981486848,0.10543882114280385,0.06335669879632637,0.06212312866128866
Metrics-Repo-2010,0.11560336668823475,0.2936000839905337,0.23973478714229604,0.1896842649917304,0.15798894449533188
JIRA-HA-2019,0.12603136947644816,0.17434496361914698,0.10232635636672963,0.07093626572605974,0.0530703642126058
JIRA-RA-2019,0.15576733336086873,0.15856641552334963,0.11284180644226711,0.08197208542250144,0.05019433863867463
MA-SZZ-2020,0.025778741902919858,0.13802837345310306,0.0958890101546879,0.030633663443480914,0.010327712571101924
ECLIPSE-2007,0.15159379265591086,0.17822882999353587,0.11670905756949075,0.11948025246622833,0.09309228598547159
Metrics-Repo-2010,0.2316797803486826,0.45982708142116696,0.4106307807754973,0.31194487931496684,0.276681390505789
JIRA-HA-2019,0.22252573472670142,0.3146894189028679,0.2335521300141457,0.18876360663649888,0.14557704916304923
JIRA-RA-2019,0.26972590784058526,0.3092843988679357,0.23605661287696122,0.1874556673760361,0.15659544871137526
MA-SZZ-2020,0.11716463183089881,0.1922930231202749,0.1336314154129468,0.05850127652446979,0.03146910463447444
ECLIPSE-2007,0.33577487206578893,0.21365166819712278,0.19190335606908956,0.27014087342001303,0.28604405679844197
Metrics-Repo-2010,0.2066248357735315,0.4285774665218618,0.3591308565625759,0.29211856034671224,0.2381191680653666
JIRA-HA-2019,0.21828506969208655,0.2616691122990882,0.2357503159651214,0.17026659197337266,0.13164930119005194
JIRA-RA-2019,0.2904334907937756,0.2872337452316096,0.22484821081386613,0.17542805529891772,0.14891975233178342
MA-SZZ-2020,0.1489148283571481,0.2209052247365071,0.1581626868178075,0.07619863580082242,0.05055521774410408
ECLIPSE-2007,0.17946047095108464,0.29319906978028926,0.1974390870012165,0.1541607297421251,0.12599679236134423
Metrics-Repo-2010,0.1686267515743071,0.42119037603401116,0.40998410442036454,0.30064621226591326,0.23303332506589142
JIRA-HA-2019,0.18098918344886064,0.303533939675696,0.20994383309369072,0.14842592768742807,0.10292026119664456
JIRA-RA-2019,0.1761258453169085,0.32885531226397424,0.2336278186010667,0.14827022143061683,0.09635383552565208
MA-SZZ-2020,0.0347387650598501,0.22892795340716188,0.18336057391242322,0.0552727936850502,0.020328699841016613
ECLIPSE-2007,0.1932278932932261,0.29243299835948,0.2245660200715717,0.18511474460596147,0.16330064484019358
Metrics-Repo-2010,0.2371128992189585,0.5330668666941243,0.48169792950590096,0.37547655173200145,0.2913156641789031
JIRA-HA-2019,0.19290256852784834,0.36105054925165625,0.24446131042316357,0.1461682442123017,0.09015268604681788
