fileName,accuracy,precision,recall,F1,AUC,ER,RI,MCC,AP,RR,Popt,ACC
activemq-5.1.0(5.0.0).csv,0.552791878172589,0.0958605664488017,0.633093525179856,0.166508987701041,0.641297557257307,0.263947854176281,0.35859939499380894,0.0922967165243458,0.14745251119235198,0.33333333333333304,0.551244891429329,0.266187050359712
activemq-5.2.0(5.1.0).csv,0.848039215686274,0.254716981132075,0.525974025974026,0.34322033898305104,0.7747311013482809,0.703631082062455,2.3741729968145098,0.29154047953175105,0.329093382371188,1.0,0.519610419790284,0.201298701298701
"activemq-5.2.0(5.1.0,5.0.0).csv",0.7730392156862751,0.182751540041068,0.577922077922078,0.27769110764430605,0.7657173155582491,0.5869244326944261,1.4208645563881699,0.227363606658713,0.262972894221145,0.5,0.4707649035968039,0.168831168831169
activemq-5.3.0(5.2.0).csv,0.8559357836924381,0.23607427055702898,0.626760563380282,0.342967244701349,0.8337395157461619,0.745878488391412,2.9351253409048503,0.322737888574605,0.33858942748267407,1.0,0.652804311084057,0.28169014084507
"activemq-5.3.0(5.2.0,5.1.0).csv",0.8707224334600758,0.258823529411765,0.619718309859155,0.36514522821576795,0.8527899984174709,0.7682144640319541,3.3143330571665297,0.342916116883685,0.374491951732095,1.0,0.630527847393728,0.30281690140845097
"activemq-5.3.0(5.2.0,5.1.0,5.0.0).csv",0.802281368821293,0.19589552238806,0.7394366197183101,0.309734513274336,0.857249564804558,0.6937574184722471,2.26538522177843,0.309641705086383,0.32655102311129103,1.0,0.603257363027047,0.25352112676056304
activemq-5.8.0(5.3.0).csv,0.627777777777778,0.110058309037901,0.7438423645320201,0.19174603174603197,0.75020327662005,0.460679292049107,0.8541843197518281,0.17562492948097597,0.236469194997358,1.0,0.49129997187079705,0.19211822660098496
"activemq-5.8.0(5.3.0,5.2.0).csv",0.530116959064327,0.09327925840092698,0.793103448275862,0.166925868325557,0.721494952155345,0.36366641240783104,0.571502777000839,0.144912058667868,0.237768326636846,1.0,0.489249630826879,0.226600985221675
"activemq-5.8.0(5.3.0,5.2.0,5.1.0).csv",0.45877192982456105,0.0829959514170041,0.8078817733990151,0.15052776502982998,0.7149763188479922,0.284823848238482,0.398256915498295,0.11702959115617402,0.268305101438645,1.0,0.47464031150644,0.21674876847290603
"activemq-5.8.0(5.3.0,5.2.0,5.1.0,5.0.0).csv",0.766374269005848,0.15105386416861802,0.635467980295567,0.244087038789026,0.80977672494185,0.6070492769391179,1.54484835200332,0.22387672838844602,0.289786085409945,1.0,0.527261311883068,0.22167487684729104
camel-2.9.0(1.4.0).csv,0.8300561797752809,0.0826446280991736,0.5,0.141843971631206,0.7153977601156071,0.660112359550562,1.9421487603305803,0.149397519666001,0.132840655007545,0.5,0.564110216437101,0.285
camel-2.10.0(2.9.0).csv,0.8650492797573921,0.144600938967136,0.495176848874598,0.22383720930232603,0.7615152759551249,0.7282351840729399,2.67965218966532,0.21371123188210897,0.184610353325218,0.5,0.565297463800228,0.292604501607717
"camel-2.10.0(2.9.0,1.4.0).csv",0.8656810715188271,0.1328125,0.437299035369775,0.20374531835205997,0.7376942931225741,0.704113336009157,2.37967242765273,0.18554328664737801,0.173569163592389,1.0,0.580622567230843,0.266881028938907
camel-2.11.0(2.10.0).csv,0.8829979651820029,0.0894788593903638,0.455,0.149548069022186,0.7744639139486469,0.747324798195248,2.95764995083579,0.162129291351505,0.10678036575811801,0.5,0.578157914124828,0.215
"camel-2.11.0(2.10.0,2.9.0).csv",0.8308840153741801,0.0736842105263158,0.56,0.130232558139535,0.7967643997224151,0.693162365556668,2.25905263157895,0.156502784276483,0.128804404089913,1.0,0.584223311759987,0.255
"camel-2.11.0(2.10.0,2.9.0,1.4.0).csv",0.8763282839701558,0.0845724907063197,0.455,0.142633228840125,0.767392435808466,0.73266615816921,2.74064126394052,0.15511550132771398,0.11940876657797302,1.0,0.582571786448619,0.255
derby-10.3.1.4(10.2.1.6).csv,0.801450589301904,0.197849462365591,0.585987261146497,0.295819935691318,0.771160702906187,0.640284402223186,1.77997397438532,0.254635875002369,0.23453139896099803,1.0,0.483351927683556,0.171974522292994
derby-10.5.1.1(10.3.1.4).csv,0.8340110905730129,0.210752688172043,0.544444444444444,0.303875968992248,0.784717271727173,0.6842581764683691,2.16714456391876,0.263630656666835,0.25558030837143697,0.5,0.496667563154808,0.15
"derby-10.5.1.1(10.3.1.4,10.2.1.6).csv",0.8846580406654342,0.273972602739726,0.444444444444444,0.338983050847458,0.7779537953795379,0.757116451016636,3.11719939117199,0.289522892409995,0.31718138801713697,1.0,0.5218656731248089,0.25
groovy-1.6.BETA1(1.5.7).csv,0.7673568818514008,0.33913043478260907,0.666666666666667,0.44956772334293893,0.814078282828283,0.579780755176614,1.3797101449275402,0.350884865543193,0.463694886758575,1.0,0.4478697755405421,0.12820512820512803
groovy-1.6.BETA2(1.6.BETA1).csv,0.776018099547511,0.27906976744186,0.58252427184466,0.377358490566038,0.7871412055741329,0.582484917043741,1.3951230526078102,0.287218084444911,0.40121824346852103,1.0,0.506272009081718,0.12621359223300999
"groovy-1.6.BETA2(1.6.BETA1,1.5.7).csv",0.763574660633484,0.27731092436974797,0.6407766990291259,0.387096774193548,0.804793456236093,0.5798368298368299,1.3800277392510398,0.304195742194112,0.440467108848882,1.0,0.48033966004813,0.0776699029126214
hbase-0.95.0(0.94.0).csv,0.8238466147393649,0.15824915824915803,0.5164835164835171,0.24226804123711299,0.751800164347693,0.6554568285251711,1.9023939023938998,0.212553769336216,0.24316809236591297,1.0,0.368528099843942,0.0879120879120879
hbase-0.95.2(0.95.0).csv,0.7960741548527809,0.157894736842105,0.526315789473684,0.242914979757085,0.7408583231334149,0.606324972737186,1.54016620498615,0.20270543203728897,0.277121485472706,0.5,0.530202396673489,0.289473684210526
"hbase-0.95.2(0.95.0,0.94.0).csv",0.823882224645583,0.17647058823529396,0.5,0.260869565217391,0.7392110363117091,0.6477644492911669,1.8390092879256998,0.21889767756251,0.308407476716635,1.0,0.5719275223204711,0.47368421052631604
hive-0.10.0(0.9.0).csv,0.842307692307692,0.138059701492537,0.711538461538462,0.23125,0.8746811875127521,0.7585585585585591,3.14179104477612,0.26571400090927,0.255173903557341,0.33333333333333304,0.43283578020768004,0.0384615384615385
hive-0.12.0(0.10.0).csv,0.771975957926371,0.0424143556280587,0.565217391304348,0.07890743550834599,0.6947796170721979,0.592585100849564,1.45450031917157,0.105495303272094,0.130564399621663,1.0,0.40164739602082594,0.0652173913043478
