fileName,(c)TP_difference_percent,(c)mean,(c)sd,(c)LL,(c)UL,(20%SLOC)TP_difference_percent,(20%SLOC)mean,(20%SLOC)sd,(20%SLOC)LL,(20%SLOC)UL,(10%)TP_difference_percent,(10%)mean,(10%)sd,(10%)LL,(10%)UL,(20%)TP_difference_percent,(20%)mean,(20%)sd,(20%)LL,(20%)UL,(30%)TP_difference_percent,(30%)mean,(30%)sd,(30%)LL,(30%)UL
zeppelin-0.6.0(0.5.6).csv,0.25,0.25,0.4375949744936837,0.125,0.375,0.24,0.24,0.43588989435406733,0.08,0.4,0.23809523809523808,0.23809523809523808,0.4364357804719847,0.047619047619047616,0.38095238095238093,0.38461538461538464,0.38461538461538464,0.49286405809014405,0.20512820512820512,0.5128205128205128,0.2765957446808511,0.2765957446808511,0.45215078571752676,0.14893617021276595,0.3829787234042553
zeppelin-0.6.1(0.6.0).csv,0.15789473684210525,0.15789473684210525,0.36953702147663203,0.05263157894736842,0.2631578947368421,0.21428571428571427,0.21428571428571427,0.41785544701867255,0.07142857142857142,0.35714285714285715,0.14814814814814814,0.14814814814814814,0.3620139928982457,0.037037037037037035,0.2962962962962963,0.0975609756097561,0.0975609756097561,0.30040622902833486,0.024390243902439025,0.17073170731707318,0.08333333333333333,0.08333333333333333,0.279310193865464,0.0040125443149580066,0.16666666666666666
"zeppelin-0.6.1(0.6.0,0.5.6).csv",0.1794871794871795,0.1794871794871795,0.3887764119844716,0.05128205128205128,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.4296689244236597,0.07692307692307693,0.38461538461538464,0.2692307692307692,0.2692307692307692,0.45234432086120485,0.07692307692307693,0.4230769230769231,0.1282051282051282,0.1282051282051282,0.3386884284293705,0.02564102564102564,0.23076923076923078,0.08333333333333333,0.08333333333333333,0.279310193865464,0.0040125443149580066,0.16666666666666666
zeppelin-0.6.2(0.6.1).csv,0.1388888888888889,0.1388888888888889,0.3507361872061009,0.027777777777777776,0.25,0.11538461538461539,0.11538461538461539,0.32581259360842113,0.0,0.23076923076923078,0.17857142857142858,0.17857142857142858,0.39002102778747977,0.03571428571428571,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.29710175718617465,0.023809523809523808,0.19047619047619047,0.10204081632653061,0.10204081632653061,0.3058388709205983,0.02040816326530612,0.1836734693877551
"zeppelin-0.6.2(0.6.1,0.6.0).csv",0.18421052631578946,0.18421052631578946,0.39285945206319156,0.05263157894736842,0.2894736842105263,0.21428571428571427,0.21428571428571427,0.41785544701867255,0.07142857142857142,0.35714285714285715,0.21428571428571427,0.21428571428571427,0.41785544701867255,0.07142857142857142,0.35714285714285715,0.11904761904761904,0.11904761904761904,0.32777006756156785,0.023809523809523808,0.21428571428571427,0.12244897959183673,0.12244897959183673,0.3312006605534179,0.04081632653061224,0.20408163265306123
"zeppelin-0.6.2(0.6.1,0.6.0,0.5.6).csv",0.10810810810810811,0.10810810810810811,0.3148000938676784,0.02702702702702703,0.21621621621621623,0.23076923076923078,0.23076923076923078,0.4296689244236597,0.07692307692307693,0.38461538461538464,0.19230769230769232,0.19230769230769232,0.40191847623425025,0.038461538461538464,0.34615384615384615,0.1282051282051282,0.1282051282051282,0.3386884284293705,0.02564102564102564,0.23076923076923078,0.020833333333333332,0.020833333333333332,0.14433756729740643,0.0,0.0625
zeppelin-0.7.0(0.6.2).csv,0.175,0.175,0.3848076442547927,0.05,0.275,0.17857142857142858,0.17857142857142858,0.39002102778747977,0.03571428571428571,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.3790490217894517,0.03333333333333333,0.3,0.14285714285714285,0.14285714285714285,0.3535533905932738,0.04081632653061224,0.24489795918367346,0.15384615384615385,0.15384615384615385,0.3636090461767122,0.06153846153846154,0.24615384615384617
"zeppelin-0.7.0(0.6.2,0.6.1).csv",0.2,0.2,0.4050957468334667,0.075,0.3,0.14814814814814814,0.14814814814814814,0.3620139928982457,0.037037037037037035,0.2962962962962963,0.16666666666666666,0.16666666666666666,0.3790490217894517,0.03333333333333333,0.3,0.14285714285714285,0.14285714285714285,0.3535533905932738,0.04081632653061224,0.24489795918367346,0.15151515151515152,0.15151515151515152,0.3612978418647565,0.07220599073427118,0.22727272727272727
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0).csv",0.21428571428571427,0.21428571428571427,0.4152997322366327,0.09523809523809523,0.3333333333333333,0.14814814814814814,0.14814814814814814,0.3620139928982457,0.037037037037037035,0.2962962962962963,0.16666666666666666,0.16666666666666666,0.3790490217894517,0.03333333333333333,0.3,0.16,0.16,0.3703280399090205,0.06,0.26,0.16666666666666666,0.16666666666666666,0.3755338080994054,0.07575757575757576,0.25757575757575757
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0,0.5.6).csv",0.19047619047619047,0.19047619047619047,0.3974366179316375,0.07142857142857142,0.2857142857142857,0.2222222222222222,0.2222222222222222,0.42365927286816174,0.07407407407407407,0.37037037037037035,0.1724137931034483,0.1724137931034483,0.3844258722192447,0.034482758620689655,0.3103448275862069,0.17647058823529413,0.17647058823529413,0.3850133687518488,0.0784313725490196,0.27450980392156865,0.0967741935483871,0.0967741935483871,0.2980635546352455,0.03225806451612903,0.1774193548387097
