issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
GEODE-7328,Bug,Fixed,Resolved,2019/10/22 2:28,2019/10/22 6:25
GEODE-7329,Improvement,Unresolved,Open,2019/10/22 4:05,
GEODE-7330,Test,Fixed,Resolved,2019/10/22 4:13,2019/10/24 0:45
GEODE-7331,Improvement,Fixed,Resolved,2019/10/22 5:45,2019/10/23 6:02
GEODE-7332,Improvement,Fixed,Resolved,2019/10/22 7:53,2019/10/23 0:20
GEODE-7333,Improvement,Fixed,Resolved,2019/10/22 21:30,2019/10/24 0:58
GEODE-7334,Bug,Unresolved,Open,2019/10/22 23:51,
GEODE-7335,Bug,Cannot Reproduce,Resolved,2019/10/23 1:04,2019/11/2 6:34
GEODE-7336,Bug,Fixed,Resolved,2019/10/23 1:11,2019/10/29 1:29
GEODE-7337,New Feature,Implemented,Resolved,2019/10/24 0:20,2019/11/27 3:17
GEODE-7338,Bug,Fixed,Resolved,2019/10/24 0:35,2019/11/20 8:15
GEODE-7339,Improvement,Unresolved,Open,2019/10/24 0:40,
GEODE-7340,Improvement,Fixed,Resolved,2019/10/24 1:18,2019/10/31 23:44
GEODE-7341,Bug,Fixed,Resolved,2019/10/24 1:57,2019/10/31 0:28
GEODE-7342,Bug,Unresolved,Open,2019/10/24 2:07,
GEODE-7343,Improvement,Unresolved,Open,2019/10/24 2:23,
GEODE-7344,Sub-task,Fixed,Resolved,2019/10/24 2:24,2019/11/27 7:58
GEODE-7345,Sub-task,Fixed,Resolved,2019/10/24 2:26,2019/11/16 1:29
GEODE-7346,Sub-task,Duplicate,Resolved,2019/10/24 2:28,2019/10/25 1:11
GEODE-7347,Bug,Fixed,Resolved,2019/10/24 2:56,2019/10/26 1:17
GEODE-7348,Sub-task,Fixed,Resolved,2019/10/24 5:13,2019/10/29 0:23
GEODE-7349,Bug,Unresolved,Open,2019/10/24 5:39,
GEODE-7350,Bug,Fixed,Resolved,2019/10/24 7:02,2019/10/29 6:04
GEODE-7351,Improvement,Unresolved,In Progress,2019/10/24 18:59,
GEODE-7352,Bug,Unresolved,Open,2019/10/25 0:59,
GEODE-7353,Bug,Fixed,Resolved,2019/10/25 1:01,2019/11/6 5:45
GEODE-7354,Sub-task,Fixed,Resolved,2019/10/25 1:08,2019/11/1 0:30
GEODE-7355,Sub-task,Fixed,Resolved,2019/10/25 1:42,2019/10/29 3:40
GEODE-7356,Bug,Unresolved,Open,2019/10/25 5:20,
GEODE-7357,Bug,Fixed,Resolved,2019/10/25 7:07,2019/10/26 6:28
GEODE-7358,Improvement,Fixed,Resolved,2019/10/25 23:51,2019/11/2 0:30
GEODE-7359,Task,Unresolved,Open,2019/10/26 1:19,
GEODE-7360,Bug,Fixed,Resolved,2019/10/26 1:43,2019/10/26 4:43
GEODE-7361,Sub-task,Fixed,Resolved,2019/10/26 2:07,2019/10/30 7:27
