Dataset,c,20%SLOC,10%,20%,30%
ECLIPSE-2007,1.0,1.0,1.0,1.0,1.0
Metrics-Repo-2010,0.8245614035087719,0.7894736842105263,0.8771929824561403,0.8947368421052632,0.8245614035087719
JIRA-HA-2019,1.0,1.0,0.9743589743589743,1.0,1.0
JIRA-RA-2019,0.9523809523809523,0.9761904761904762,1.0,0.9761904761904762,1.0
MA-SZZ-2020,0.6439024390243903,0.6780487804878049,0.7365853658536585,0.7024390243902439,0.5756097560975609
IND-JLMIV+R-2020,0.5236486486486487,0.5236486486486487,0.6351351351351351,0.5844594594594594,0.40878378378378377
