"name_id","AvgWMC","CCMax","CDE","CIE","NTM","SDMC","WMC","AvgSLOC","NA.","NAIMP","NCM","NIM","NLM","NM","NMIMP","NMNpub","Nmpub","NumPara","loc","stms","AID","CLD","DIT","DP","DPA","DPD","NMA","NMI","NMO","NOA","NOC","NOD","NOP","PII","SIX","SP","SPA","SPD","CBO","DAC","DACquote","ICP","IHICP","NIHICP","bug"
"core\src\main\java\org\apache\mahout\Version.java",1,1,2.66353275480426,3.97017552146435,4,0,4,2.75,0,0,3,1,4,4,4,1,3,1,13,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"integration\src\main\java\org\apache\mahout\benchmark\BenchmarkRunner.java",1.8,3,4.3548846067676,4.65588913787272,3,0.979795897113271,9,7.4,4,4,2,3,5,5,5,2,3,4,65,47,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,1,1,10,0,10,0
"integration\src\main\java\org\apache\mahout\benchmark\CloneBenchmark.java",1,1,2.50325833477565,3.62653502556841,2,0,2,13,2,2,0,2,2,2,2,0,2,1,30,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,21,0,21,0
"integration\src\main\java\org\apache\mahout\benchmark\ClosestCentroidBenchmark.java",8,15,3.23592635062903,4.92747880384788,1,7,16,31.5,3,3,0,2,2,2,2,0,2,2,68,65,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,3,2,35,0,35,0
"integration\src\main\java\org\apache\mahout\benchmark\DistanceBenchmark.java",1,1,2.50325833477565,4.06431963444291,2,0,2,29.5,1,1,0,2,2,2,2,0,2,2,62,32,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,63,0,63,0
"integration\src\main\java\org\apache\mahout\benchmark\DotBenchmark.java",1,1,3.65899341525381,4.37174238750404,7,0,7,18.7142857142857,5,5,1,6,7,7,7,4,3,2,138,76,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,5,2,133,0,133,0
"integration\src\main\java\org\apache\mahout\benchmark\MinusBenchmark.java",1,1,2.50325833477565,4.1031632553617,2,0,2,34,2,2,0,2,2,2,2,0,2,1,72,42,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,63,0,63,0
"integration\src\main\java\org\apache\mahout\benchmark\PlusBenchmark.java",1,1,2.50325833477565,4.1031632553617,2,0,2,34,2,2,0,2,2,2,2,0,2,1,72,42,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,63,0,63,0
"integration\src\main\java\org\apache\mahout\benchmark\SerializationBenchmark.java",2.4,7,3.4594316186373,5.25076023660886,3,2.33238075793812,12,15.8,3,3,0,5,5,5,5,1,4,3,84,67,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,3,2,55,0,55,0
"integration\src\main\java\org\apache\mahout\benchmark\TimesBenchmark.java",1,1,2.50325833477565,4.1031632553617,2,0,2,34,2,2,0,2,2,2,2,0,2,1,72,42,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,63,0,63,0
"integration\src\main\java\org\apache\mahout\benchmark\VectorBenchmarks.java",3.875,11,5.69956407364524,6.82702483523334,6,3.21859829739593,62,21.4375,35,35,2,14,16,16,16,5,11,29,381,301,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,25,23,8,93,0,93,1
"core\src\test\java\org\apache\mahout\cf\taste\common\CommonTest.java",1,1,2.40563906222957,3.63909765557392,3,0,3,6.66666666666667,5,0,0,3,3,21,3,0,3,0,25,18,4,0,4,0,0,0,3,18,0,4,0,0,1,0.2,0,0,0,0,3,0,0,6,0,6,0
"core\src\main\java\org\apache\mahout\cf\taste\common\NoSuchItemException.java",1,1,2,2.24643934467102,3,0,3,2.33333333333333,0,0,0,3,3,7,3,0,3,2,9,6,2,0,2,0,0,0,3,4,0,2,0,0,1,0.166666666666667,0,0,0,0,0,0,0,2,2,0,0
"core\src\main\java\org\apache\mahout\cf\taste\common\NoSuchUserException.java",1,1,2,2.24643934467102,3,0,3,2.33333333333333,0,0,0,3,3,7,3,0,3,2,9,6,2,0,2,0,0,0,3,4,0,2,0,0,1,0.166666666666667,0,0,0,0,0,0,0,2,2,0,0
"core\src\main\java\org\apache\mahout\cf\taste\common\TasteException.java",1,1,2.40666631674069,2.25,4,0,4,2.5,0,0,0,4,4,4,4,0,4,4,12,8,1,1,1,0,0,0,4,0,0,1,2,2,1,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0
