fileName,accuracy,precision,recall,F1,AUC,ER,RI,MCC,AP,RR,Popt,ACC
poi-2.5(2.0).csv,0.5857142857142861,1.0,0.09375,0.17142857142857096,0.641858552631579,0.5428571428571429,1.1875,0.230589769484782,0.678681047317399,1.0,0.17323503667326998,0.078125
"poi-3.0(2.5,2.0).csv",0.6229946524064169,0.8918918918918921,0.434210526315789,0.584070796460177,0.8219027877913959,0.316480311132718,0.4630156472261741,0.375898228177085,0.838950574017663,1.0,0.0801988392312235,0.0482456140350877
poi-3.0(2.5).csv,0.7994652406417109,0.8072289156626509,0.8815789473684209,0.842767295597484,0.8645908435472242,0.244792082368904,0.32413865990276897,0.5716977657090799,0.8792735728605999,0.5,0.370974979100588,0.109649122807018
xalan-2.6(2.5).csv,0.700507614213198,0.7956204379562041,0.7785714285714291,0.787003610108303,0.7301535087719301,0.106785265216784,0.119551616266945,0.283117490592797,0.869137018664457,1.0,0.057067043278356,0.0571428571428571
"xalan-2.7(2.6,2.5).csv",0.6170940170940171,0.9972299168975072,0.617495711835334,0.76271186440678,0.73156089193825,0.000650522317188984,0.000650945771940911,0.0141089171046491,0.998714156469221,1.0,0.0019206086228584802,0.0308747855917667
xalan-2.7(2.6).csv,0.615384615384615,1.0,0.614065180102916,0.7608926673751328,0.948542024013722,0.00341880341880342,0.00343053173241852,0.07355450974610901,0.99981942890928,1.0,0.0167438786284738,0.0308747855917667
"poi-3.0(2.5,2.0,1.5).csv",0.647058823529412,0.875,0.491228070175439,0.6292134831460671,0.82319454458063,0.303284950343774,0.43530701754386,0.392395569640842,0.8436062034252522,1.0,0.082796980278959,0.0526315789473684
"xalan-2.7(2.6,2.5,2.4).csv",0.471794871794872,1.0,0.4699828473413379,0.6394399066511091,0.783018867924528,0.00341880341880342,0.00343053173241852,0.0549763379291367,0.99905869337872,1.0,-0.0173294714005996,0.0308747855917667
"xalan-2.6(2.5,2.4).csv",0.464467005076142,0.8965517241379308,0.27857142857142897,0.425068119891008,0.7382988721804509,0.207340882467786,0.261576354679803,0.21823053218034305,0.8595362412681701,1.0,0.216641249452017,0.110714285714286
"poi-2.5(2.0,1.5).csv",0.621428571428571,0.7619047619047621,0.25,0.376470588235294,0.8065378289473679,0.4,0.666666666666667,0.256997026481294,0.733280845036927,1.0,0.18337519698917806,0.078125
xalan-2.5(2.4).csv,0.5382165605095539,0.866666666666667,0.155688622754491,0.26395939086294395,0.71393946800277,0.38633023027927504,0.629540918163673,0.218084594786276,0.7109454826935729,1.0,0.186291833846092,0.0898203592814371
xerces-1.4(1.3).csv,0.693430656934307,1.0,0.25,0.4,0.940696649029982,0.5912408759124089,1.44642857142857,0.405751335600344,0.9232814207206972,1.0,0.3988077385554729,0.196428571428571
log4j-1.2(1.1).csv,0.404109589041096,0.947368421052632,0.39130434782608703,0.5538461538461539,0.572916666666667,0.00228310502283105,0.0022883295194508,0.00760598627247821,0.960714032251976,1.0,0.0865027426187505,0.0579710144927536
"xerces-1.4(1.3,1.2).csv",0.5912408759124089,0.0,0.0,0.0,0.961089065255732,,,0.0,0.9591193464377892,1.0,0.468230208542568,0.196428571428571
