fileName,Ranked1,Ranked2,Ranked3,IL/Ins
activemq-5.2.0(5.1.0).csv,-200.0,-3.0,0.0,0.1431472081218274
"activemq-5.3.0(5.2.0,5.1.0).csv",0.0,0.0,0.0,0.13815461346633418
"activemq-5.2.0(5.1.0,5.0.0).csv",0.0,0.0,0.0,0.13362740010378826
"activemq-5.3.0(5.2.0,5.1.0,5.0.0).csv",-3.0,-3.0,0.0,0.1335256192738378
activemq-5.3.0(5.2.0).csv,-200.0,1.0,1.0,0.13333333333333333
derby-10.5.1.1(10.3.1.4).csv,-200.0,-200.0,-200.0,0.13327289211242066
activemq-5.1.0(5.0.0).csv,-200.0,-200.0,-200.0,0.12367303609341826
"activemq-5.8.0(5.3.0,5.2.0,5.1.0,5.0.0).csv",0.0,0.0,0.0,0.11584553928095873
"activemq-5.8.0(5.3.0,5.2.0,5.1.0).csv",0.0,0.0,0.0,0.11353300925199937
"derby-10.5.1.1(10.3.1.4,10.2.1.6).csv",0.0,0.0,0.0,0.11225713600383785
"activemq-5.8.0(5.3.0,5.2.0).csv",-200.0,1.0,1.0,0.10029498525073746
derby-10.3.1.4(10.2.1.6).csv,0.0,0.0,0.0,0.08863983698420784
activemq-5.8.0(5.3.0).csv,-1.0,1.0,-200.0,0.07182087029995775
hbase-0.95.2(0.95.0).csv,-200.0,-200.0,2.0,0.06447613143211407
hive-0.12.0(0.10.0).csv,-200.0,-2.0,-2.0,0.0515818431911967
"hive-0.12.0(0.10.0,0.9.0).csv",-200.0,-200.0,-200.0,0.04471691309051569
"hbase-0.95.2(0.95.0,0.94.0).csv",0.0,0.0,0.0,0.039097744360902256
hive-0.10.0(0.9.0).csv,0.0,-200.0,-200.0,0.037149355572403335
wicket-1.3.0.beta2(1.3.0.beta1).csv,-1.0,-200.0,0.0,0.03055721989215099
"wicket-1.5.3.0(1.3.0.beta2,1.3.0.beta1).csv",0.0,0.0,0.0,0.02974628171478565
wicket-1.5.3.0(1.3.0.beta2).csv,-200.0,0.0,-200.0,0.028977272727272727
groovy-1.6.BETA1(1.5.7).csv,0.0,0.0,0.0,0.027777777777777776
"groovy-1.6.BETA2(1.6.BETA1,1.5.7).csv",-200.0,1.0,0.0,0.02601522842639594
groovy-1.6.BETA2(1.6.BETA1).csv,0.0,0.0,0.0,0.024390243902439025
lucene-3.0.0(2.9.0).csv,-1.0,1.0,0.0,0.023529411764705882
"lucene-3.1.0(3.0.0,2.9.0).csv",0.0,0.0,-200.0,0.02342007434944238
lucene-3.1.0(3.0.0).csv,0.0,0.0,0.0,0.02330827067669173
"lucene-3.1.0(3.0.0,2.9.0,2.3.0).csv",0.0,0.0,0.0,0.020898940738620097
"lucene-3.0.0(2.9.0,2.3.0).csv",0.0,0.0,0.0,0.019417475728155338
jruby-1.5.0(1.4.0).csv,0.0,0.0,0.0,0.01752577319587629
camel-2.11.0(2.10.0).csv,-1.0,-1.0,-1.0,0.0166243654822335
"jruby-1.7.0.preview1(1.5.0,1.4.0).csv",0.0,-2.0,0.0,0.016213638531235097
jruby-1.7.0.preview1(1.5.0).csv,-200.0,-1.0,1.0,0.015084294587400177
"camel-2.11.0(2.10.0,2.9.0).csv",0.0,0.0,-200.0,0.013962188522947425
"jruby-1.7.0.preview1(1.5.0,1.4.0,1.1.0).csv",0.0,0.0,-1.0,0.01347517730496454
"camel-2.11.0(2.10.0,2.9.0,1.4.0).csv",0.0,0.0,-1.0,0.01293103448275862
lucene-2.9.0(2.3.0).csv,0.0,-1.0,-1.0,0.012453300124533
"jruby-1.5.0(1.4.0,1.1.0).csv",-1.0,1.0,0.0,0.012404016538688719
camel-2.10.0(2.9.0).csv,0.0,0.0,0.0,0.011002962336013541
"camel-2.10.0(2.9.0,1.4.0).csv",0.0,0.0,0.0,0.009543761638733706
jruby-1.4.0(1.1.0).csv,0.0,0.0,0.0,0.005532503457814661
camel-2.9.0(1.4.0).csv,0.0,-200.0,1.0,0.0026613439787092482
