"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","8.48","5.5","2.56","6.18","4.14","4.83","4.97","13.71","7"
"ECLIPSE-2007","1.25","1.18","0.42","0.3","0.3","0.4","6.26","3.91","1.23"
"ECLIPSE-2007","[7.1,9.29]","[4.14,6.15]","[2.19,2.83]","[5.88,6.38]","[3.84,4.34]","[4.39,5.1]","[1.36,8.59]","[9.27,16.16]","[6.05,7.78]"
"Metrics-Repo-2010","92.73","26.18","86.11","95.84","51.24","31.66","19.05","371.36","80.29"
"Metrics-Repo-2010","194","29.01","334.27","336.93","151.68","33.66","25.74","2059.54","191.79"
"Metrics-Repo-2010","[57.72,171.66]","[20.49,37.09]","[36.77,230.76]","[46.53,267.47]","[28.88,129.61]","[24.26,42.15]","[12.79,26.42]","[84.86,1721.56]","[46.4,170.3]"
"JIRA-HA-2019","11.65","12.44","4.82","16.49","10.1","14.33","3.41","84.42","52.87"
"JIRA-HA-2019","8.95","9.35","3.69","13.81","7.4","10.7","3.43","135.46","82.82"
"JIRA-HA-2019","[9.33,15.06]","[9.81,15.51]","[3.86,6.21]","[12.76,21.82]","[7.92,12.65]","[11.21,18.36]","[2.48,4.67]","[55.54,155.27]","[35.02,98.23]"
"JIRA-RA-2019","10.21","8.89","3.6","13.53","7.73","11.25","5.68","52.79","43.79"
"JIRA-RA-2019","12.25","7.88","3.36","13","7.66","9.04","11.12","75.04","87.53"
"JIRA-RA-2019","[6.73,14.68]","[6.49,11.34]","[2.62,4.75]","[9.6,17.49]","[5.55,10.44]","[8.47,13.98]","[3.25,10.95]","[36.33,88.5]","[27.47,88.91]"
"MA-SZZ-2020","5.53","3.28","2.63","5.54","4","5.26","7.27","230.44","33.33"
"MA-SZZ-2020","6.21","4.11","3.39","6.52","4.43","5.4","41.84","2652.38","113.55"
"MA-SZZ-2020","[4.74,6.66]","[2.67,3.93]","[2.17,3.26]","[4.55,6.61]","[3.32,4.72]","[4.42,6.1]","[3.44,19.79]","[18.44,1072.06]","[22.89,67.75]"
"IND-JLMIV+R-2020","20.65","6.29","4","11.12","13.1","14.9","20.56","54.11","67.78"
"IND-JLMIV+R-2020","30.86","10.96","4.17","8.44","15.25","15.13","50.81","166.62","98.29"
"IND-JLMIV+R-2020","[17.55,25.02]","[5.31,7.83]","[3.58,4.52]","[10.23,12.19]","[11.55,14.94]","[13.41,16.9]","[15.7,27.42]","[42.46,93.02]","[58.21,81.23]"
