issueKey,type,createdDateEpoch,resolvedDateEpoch
HADOOP-5531,Improvement,2009-03-19 14:04:23,2009-03-24 11:55:17
HADOOP-5533,Bug,2009-03-19 15:06:54,2009-04-17 16:15:25
HADOOP-5534,Bug,2009-03-19 16:26:42,2009-03-19 21:22:19
HADOOP-5538,Test,2009-03-20 14:29:04,2009-03-27 15:20:29
HADOOP-5539,Bug,2009-03-20 14:51:59,2009-05-28 19:37:51
HADOOP-5540,Bug,2009-03-20 18:04:36,2009-03-21 01:44:43
HADOOP-5541,Bug,2009-03-20 18:31:17,2009-03-21 13:28:56
HADOOP-5547,Bug,2009-03-21 01:19:27,2011-08-12 02:09:07
HADOOP-5548,Bug,2009-03-21 04:25:54,2009-04-07 20:17:32
HADOOP-5549,Bug,2009-03-21 05:46:17,2009-03-24 01:19:28
HADOOP-5550,Bug,2009-03-22 12:20:39,2009-03-24 11:39:41
HADOOP-5551,Bug,2009-03-23 00:46:54,2009-03-31 03:09:22
HADOOP-5553,Improvement,2009-03-23 14:55:46,2009-03-24 05:07:04
HADOOP-5554,Bug,2009-03-24 01:51:05,2009-03-24 08:22:13
HADOOP-5555,Improvement,2009-03-24 02:01:14,2012-07-11 00:30:48
HADOOP-5556,Bug,2009-03-24 02:39:29,2009-09-02 09:13:22
HADOOP-5557,Bug,2009-03-24 05:13:39,2009-03-24 09:01:10
HADOOP-5558,Bug,2009-03-24 05:58:31,2009-03-24 06:02:13
HADOOP-5559,Sub-task,2009-03-24 06:00:12,2009-04-02 02:46:55
HADOOP-5560,Bug,2009-03-24 06:54:31,2009-09-18 13:26:38
HADOOP-5561,Bug,2009-03-24 07:49:25,2009-03-26 08:25:57
HADOOP-5564,Bug,2009-03-25 02:33:15,2009-03-25 03:08:04
HADOOP-5565,Bug,2009-03-25 02:56:16,2009-03-26 03:57:26
HADOOP-5566,Improvement,2009-03-25 06:34:44,2014-07-22 06:11:50
HADOOP-5569,Improvement,2009-03-25 17:19:20,2009-04-02 17:02:14
HADOOP-5571,Bug,2009-03-25 20:55:05,2009-03-27 14:22:56
HADOOP-5572,Improvement,2009-03-25 22:44:50,2009-05-20 17:13:49
HADOOP-5574,Improvement,2009-03-26 07:37:01,2009-05-05 05:22:00
HADOOP-5575,Task,2009-03-26 12:52:47,2009-04-04 01:07:26
HADOOP-5576,Bug,2009-03-26 20:41:35,2009-04-01 00:31:16
HADOOP-5577,Bug,2009-03-26 22:02:57,2009-04-02 04:32:31
HADOOP-5579,Bug,2009-03-26 23:49:53,2009-05-05 15:22:15
HADOOP-5580,Bug,2009-03-26 23:59:26,2009-03-29 07:27:48
HADOOP-5581,Bug,2009-03-27 00:08:11,2009-04-14 05:08:08
HADOOP-5582,Bug,2009-03-27 00:20:04,2009-05-17 00:14:02
HADOOP-5583,Bug,2009-03-27 00:31:56,2009-03-27 07:28:20
HADOOP-5585,Bug,2009-03-27 07:35:16,2009-04-08 13:23:02
HADOOP-5587,Wish,2009-03-27 07:44:21,
HADOOP-5588,Bug,2009-03-27 08:18:18,2009-03-28 03:52:07
HADOOP-5589,Improvement,2009-03-27 20:15:05,2009-04-24 06:10:33
HADOOP-5590,Bug,2009-03-28 17:50:43,2009-04-08 06:52:12
HADOOP-5591,Bug,2009-03-29 13:09:03,2009-04-01 01:03:06
HADOOP-5592,Bug,2009-03-30 10:28:53,2009-05-01 21:23:56
HADOOP-5595,Improvement,2009-03-31 06:36:08,2009-04-03 06:15:12
HADOOP-5596,Improvement,2009-03-31 13:39:21,2009-05-05 07:59:56
HADOOP-5597,Bug,2009-03-31 19:07:14,2009-06-02 08:09:44
HADOOP-5599,Bug,2009-03-31 22:52:33,2009-04-07 15:39:01
HADOOP-5602,Bug,2009-04-01 03:30:16,2014-07-22 06:19:18
HADOOP-5603,Improvement,2009-04-01 05:17:02,2009-04-08 01:40:58
HADOOP-5604,Bug,2009-04-01 06:43:03,2009-04-02 06:00:04
HADOOP-5605,Bug,2009-04-01 08:21:30,2009-04-03 07:57:13
HADOOP-5606,Bug,2009-04-01 17:40:39,2015-03-09 23:24:09
HADOOP-5607,Bug,2009-04-02 00:09:30,2009-04-02 06:02:17
HADOOP-5609,Bug,2009-04-02 02:20:53,2009-04-02 11:46:58
HADOOP-5611,Bug,2009-04-02 04:39:00,2010-02-12 13:31:34
HADOOP-5612,Bug,2009-04-02 05:21:19,2010-02-13 12:05:59
HADOOP-5613,Improvement,2009-04-02 16:09:58,2009-05-01 22:01:04
HADOOP-5614,Bug,2009-04-02 19:57:15,2009-04-17 19:18:39
HADOOP-5615,Improvement,2009-04-03 03:35:26,2011-08-12 02:07:10
HADOOP-5617,Improvement,2009-04-03 04:36:53,2014-07-23 02:24:02
HADOOP-5618,Improvement,2009-04-03 06:05:18,2009-04-28 09:24:41
HADOOP-5620,Improvement,2009-04-03 14:53:48,2009-05-29 07:30:36
HADOOP-5621,New Feature,2009-04-03 19:22:41,2014-01-21 02:52:50
HADOOP-5622,Improvement,2009-04-03 19:48:07,2012-02-19 00:23:27
HADOOP-5623,Bug,2009-04-04 01:35:23,2010-01-06 08:02:28
HADOOP-5624,Bug,2009-04-04 02:19:06,2011-06-12 23:55:06
HADOOP-5625,Improvement,2009-04-04 02:42:34,2009-04-21 16:25:11
HADOOP-5628,Bug,2009-04-06 13:02:30,2015-04-26 09:38:47
HADOOP-5629,Improvement,2009-04-07 01:54:08,2009-05-05 14:20:37
HADOOP-5635,Bug,2009-04-07 15:03:54,2009-05-27 16:55:58
HADOOP-5636,Bug,2009-04-07 19:22:29,2009-05-08 18:22:24
HADOOP-5637,Bug,2009-04-08 01:30:28,2009-04-09 01:52:01
HADOOP-5638,Improvement,2009-04-08 06:51:25,2009-04-17 08:33:00
HADOOP-5639,Bug,2009-04-08 12:48:56,2009-04-08 15:54:04
HADOOP-5640,Improvement,2009-04-08 13:01:27,2012-03-30 00:38:16
HADOOP-5641,Bug,2009-04-08 13:18:42,2009-05-12 21:39:47
HADOOP-5643,New Feature,2009-04-09 02:43:27,2009-05-11 20:49:37
HADOOP-5644,Bug,2009-04-09 07:50:20,2009-04-15 14:16:05
HADOOP-5645,Bug,2009-04-09 09:32:43,2009-04-09 14:13:26
HADOOP-5646,Bug,2009-04-09 12:24:31,2009-04-17 19:27:15
HADOOP-5647,Bug,2009-04-09 13:18:09,2011-06-08 14:07:12
HADOOP-5648,Bug,2009-04-09 17:56:04,2009-06-02 12:42:36
HADOOP-5650,Bug,2009-04-10 06:05:35,2009-04-18 08:04:06
HADOOP-5652,Bug,2009-04-10 11:51:04,2009-04-16 01:05:35
HADOOP-5653,Bug,2009-04-11 01:26:31,2009-04-14 00:22:58
HADOOP-5654,Bug,2009-04-11 02:16:13,2009-04-15 05:45:27
HADOOP-5655,Bug,2009-04-11 02:23:04,2009-04-17 08:05:19
HADOOP-5656,Bug,2009-04-11 03:00:38,2009-05-01 21:45:17
HADOOP-5657,Improvement,2009-04-11 08:16:20,2009-04-29 12:11:21
HADOOP-5658,Bug,2009-04-12 13:48:20,2009-04-18 08:54:05
HADOOP-5661,Bug,2009-04-13 12:39:36,2009-04-18 01:32:20
HADOOP-5662,Bug,2009-04-13 16:30:03,2009-04-13 16:33:58
HADOOP-5664,Improvement,2009-04-14 04:59:26,2009-05-29 08:58:57
HADOOP-5665,Bug,2009-04-14 14:00:44,2009-04-14 14:48:20
HADOOP-5670,New Feature,2009-04-15 03:43:58,2011-11-03 02:25:44
HADOOP-5671,Bug,2009-04-15 04:22:40,2009-04-16 07:38:30
HADOOP-5673,Bug,2009-04-15 04:58:19,2009-04-29 08:24:17
HADOOP-5675,Improvement,2009-04-15 07:11:13,2009-05-12 02:50:49
HADOOP-5678,Bug,2009-04-15 14:54:31,2009-05-05 07:29:07
HADOOP-5679,Bug,2009-04-15 16:33:47,2009-05-08 18:13:29
HADOOP-5682,Bug,2009-04-16 02:09:00,2014-07-23 02:48:25
HADOOP-5685,Bug,2009-04-16 06:38:59,2009-05-04 17:16:28
HADOOP-5687,Improvement,2009-04-16 08:43:08,2009-05-23 07:15:13
HADOOP-5688,Bug,2009-04-16 09:02:39,2009-04-23 03:54:25
HADOOP-5691,Bug,2009-04-16 14:53:35,2009-04-17 20:07:24
HADOOP-5693,Bug,2009-04-17 14:07:38,2011-12-29 15:08:21
HADOOP-5701,Bug,2009-04-18 02:49:24,2009-06-12 08:07:10
HADOOP-5702,Bug,2009-04-18 06:01:13,2009-04-21 05:47:30
HADOOP-5704,Bug,2009-04-18 06:45:42,2009-04-18 07:59:40
HADOOP-5705,Improvement,2009-04-18 09:20:44,2009-04-24 04:57:57
HADOOP-5707,Bug,2009-04-21 02:46:32,
HADOOP-5708,Improvement,2009-04-21 04:18:01,2009-04-22 07:30:30
HADOOP-5709,Bug,2009-04-21 12:08:59,2009-04-24 04:20:49
HADOOP-5710,Bug,2009-04-21 12:34:49,2009-05-25 19:23:33
HADOOP-5711,Bug,2009-04-22 01:44:57,2009-04-30 04:53:44
HADOOP-5714,New Feature,2009-04-22 02:29:12,2009-05-13 07:55:21
HADOOP-5715,Bug,2009-04-22 03:41:13,2009-04-28 05:51:43
HADOOP-5717,Improvement,2009-04-22 13:02:23,2009-05-04 13:20:15
HADOOP-5718,Bug,2009-04-22 15:32:35,2009-05-05 19:08:51
HADOOP-5719,Bug,2009-04-22 15:39:32,2009-05-06 13:46:22
HADOOP-5721,Improvement,2009-04-22 23:51:38,2009-05-15 08:45:44
HADOOP-5722,Bug,2009-04-23 00:49:55,2014-07-23 02:57:05
HADOOP-5723,Bug,2009-04-23 05:03:38,2009-04-23 06:41:05
HADOOP-5726,Improvement,2009-04-23 15:50:54,2009-05-05 15:36:17
HADOOP-5727,Improvement,2009-04-23 19:52:50,2009-05-05 14:02:10
HADOOP-5728,Bug,2009-04-23 21:50:26,2009-05-23 00:17:50
HADOOP-5731,Bug,2009-04-23 22:35:33,2015-02-09 01:24:05
HADOOP-5732,New Feature,2009-04-24 00:16:06,2015-07-08 01:12:18
HADOOP-5733,Improvement,2009-04-24 02:58:58,2009-05-05 06:13:05
HADOOP-5734,Bug,2009-04-24 08:52:18,2009-04-29 09:45:20
HADOOP-5736,Bug,2009-04-24 14:34:30,2009-05-05 16:46:53
