Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.0,0.125,0.55,0.0,0.325
JIRA-HA-2019,Ranked1,0.0,0.5,0.5,0.0,0.0
JIRA-RA-2019,Ranked1,0.0,0.09375,0.78125,0.0,0.125
MA-SZZ-2020,Ranked1,0.20833333333333334,0.16666666666666666,0.20833333333333334,0.0,0.4166666666666667
Metrics-Repo-2010,Ranked2,0.0,0.775,0.225,0.0,0.0
JIRA-HA-2019,Ranked2,0.5,0.25,0.0,0.0,0.25
JIRA-RA-2019,Ranked2,0.21875,0.5625,0.0,0.0,0.21875
MA-SZZ-2020,Ranked2,0.16666666666666666,0.625,0.0,0.20833333333333334,0.0
Metrics-Repo-2010,Ranked3,0.675,0.1,0.0,0.225,0.0
JIRA-HA-2019,Ranked3,0.09375,0.125,0.5,0.0,0.28125
JIRA-RA-2019,Ranked3,0.5625,0.125,0.09375,0.0,0.21875
MA-SZZ-2020,Ranked3,0.20833333333333334,0.0,0.20833333333333334,0.20833333333333334,0.375
