"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","3.18","0.9","4.06","8.54","2.5","6.05","0","2.85","10.26"
"ECLIPSE-2007","4.37","0.54","5.63","11.77","3.03","5.38","0","3.73","10.41"
"ECLIPSE-2007","[0.53,8.23]","[0.44,1.25]","[0.52,7.4]","[1.11,15.54]","[0.21,4.41]","[2.31,9.35]","[0,0]","[0.47,7.15]","[2.81,16.71]"
"Metrics-Repo-2010","32.91","9.25","12.78","18.13","16.58","9.41","97.53","43.89","72.75"
"Metrics-Repo-2010","52.56","11.62","18.05","20.95","18.75","11.6","457.68","96.78","154.92"
"Metrics-Repo-2010","[21.8,52.68]","[6.79,12.78]","[9.04,18.45]","[13.43,23.48]","[12.41,22.48]","[6.76,13.09]","[30.68,348.86]","[27.18,90.5]","[44.95,143.74]"
"JIRA-HA-2019","8.01","1.47","3.48","10.4","4.43","8.39","140.7","59.32","47.35"
"JIRA-HA-2019","7.23","1.21","3.09","8.61","4.05","7.58","274.01","114.52","70.46"
"JIRA-HA-2019","[5.99,10.89]","[1.11,1.87]","[2.64,4.57]","[8.01,13.23]","[3.35,5.9]","[6.68,11.87]","[77.57,281.27]","[31.39,113.23]","[30.76,82.26]"
"JIRA-RA-2019","7.1","1.27","3.37","9.39","4.06","7.38","43.29","149.44","79.03"
"JIRA-RA-2019","7.37","1.19","3.94","8.86","3.8","5.38","80.27","730.11","230.61"
"JIRA-RA-2019","[5.21,9.86]","[0.97,1.7]","[2.41,4.88]","[7.24,12.42]","[3.17,5.44]","[5.91,9.12]","[23.64,73.92]","[29.2,590.21]","[38.91,214.16]"
"MA-SZZ-2020","8.05","1.41","4.07","9.91","5.58","8.62","34.81","16.67","99.16"
"MA-SZZ-2020","9.9","1.95","5.64","12.43","5.75","14.63","160.75","24.24","362.67"
"MA-SZZ-2020","[7.01,9.74]","[1.22,1.88]","[3.39,5]","[8.41,11.97]","[4.88,6.49]","[7.03,11.19]","[20.5,72.76]","[13.93,20.66]","[62.31,181.36]"
"IND-JLMIV+R-2020","15.48","3.39","5.85","19.81","8.64","13.55","103.03","23.45","68.96"
"IND-JLMIV+R-2020","58.8","8.92","16.05","91.75","15.74","20.09","513.87","57.27","176.05"
"IND-JLMIV+R-2020","[11.6,32.37]","[2.64,4.81]","[4.61,8.99]","[13.87,41.84]","[7.41,11.34]","[11.73,16.32]","[66.25,213.32]","[18.89,33.47]","[53.45,96.91]"
