"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","1.5","0.31","4.06","8.54","2.5","3.46","0","0.89","4.3"
"ECLIPSE-2007","2.07","0.2","5.63","11.77","3.03","3.11","0","1.21","5.26"
"ECLIPSE-2007","[0.25,2.71]","[0.14,0.44]","[0.52,7.4]","[1.11,15.54]","[0.21,5.94]","[1.29,7.02]","[0,0]","[0.13,1.61]","[0.81,7.48]"
"Metrics-Repo-2010","6.25","2.84","12.78","18.13","16.58","4.31","21.17","12.74","21.05"
"Metrics-Repo-2010","6.78","3.45","18.05","20.95","18.75","7.05","49.19","20.14","39.52"
"Metrics-Repo-2010","[4.56,8.54]","[2.1,3.99]","[8.73,18.73]","[13.81,24.47]","[12.26,21.87]","[3.01,7.02]","[12.11,45.48]","[8.65,19.78]","[14.35,37.3]"
"JIRA-HA-2019","5.3","0.58","3.48","10.4","4.43","6.19","34.25","2.72","11.61"
"JIRA-HA-2019","5.19","0.47","3.09","8.61","4.05","5.91","47.81","4.62","23.13"
"JIRA-HA-2019","[3.82,7.09]","[0.45,0.73]","[2.66,4.62]","[8.06,13.11]","[3.31,6.01]","[4.84,9.23]","[21.57,51.7]","[1.77,5.48]","[6.92,23.54]"
"JIRA-RA-2019","4.6","0.5","3.37","9.39","4.06","5.49","25.7","2.92","13.79"
"JIRA-RA-2019","5.26","0.44","3.94","8.86","3.8","4.05","36.82","4.37","29.3"
"JIRA-RA-2019","[3.26,6.63]","[0.39,0.67]","[2.47,4.87]","[6.96,12.26]","[3,5.27]","[4.4,6.93]","[15.08,38.02]","[2,5.28]","[8.59,31.76]"
"MA-SZZ-2020","4.25","0.56","4.07","9.91","5.58","6.51","15.16","2.18","10.62"
"MA-SZZ-2020","4.93","0.74","5.64","12.43","5.75","11.53","42.76","1.97","14.88"
"MA-SZZ-2020","[3.63,5.06]","[0.49,0.71]","[3.39,4.97]","[8.53,11.99]","[4.91,6.49]","[5.21,8.27]","[10.27,22.44]","[1.93,2.46]","[8.88,13.16]"
"IND-JLMIV+R-2020","5.72","0.69","4.15","12.22","5.19","7.13","22.8","1.98","8.88"
"IND-JLMIV+R-2020","6.73","1.66","7.21","16.1","6.93","10.22","56.43","2.26","9.2"
"IND-JLMIV+R-2020","[4.61,7.31]","[0.49,1.25]","[3.09,6.1]","[9.91,16.4]","[4.2,7.25]","[5.55,10.17]","[13.8,34.89]","[1.63,2.53]","[7.36,11.08]"
