"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","2.14","4.81","3.5","5.49","1.17","5.83","66.49","6.99"
"Metrics-Repo-2010","2.45","26.73","4.88","6.72","1","18.61","360.38","11.08"
"Metrics-Repo-2010","1.59","0.52","2.48","3.93","0.9","2.28","7.94","4.26"
"Metrics-Repo-2010","3.31","21.79","5.62","8.43","1.52","16.5","355.92","10.92"
"JIRA-HA-2019","3.02","0.24","2.81","7.12","2.89","10.17","2.85","7.46"
"JIRA-HA-2019","3.09","0.18","2.1","4.98","3.46","26.02","4.45","14"
"JIRA-HA-2019","2.18","0.18","2.19","5.63","2.01","3.92","1.73","4.02"
"JIRA-HA-2019","4.39","0.3","3.62","9.13","4.71","23.62","4.8","14.94"
"JIRA-RA-2019","2.57","0.18","2.66","7.02","2.49","14.9","2.73","8.73"
"JIRA-RA-2019","2.08","0.16","2","4.22","1.94","30.29","6.02","8.48"
"JIRA-RA-2019","1.97","0.14","2.06","5.66","1.95","6.77","1.41","6.3"
"JIRA-RA-2019","3.4","0.25","3.48","8.63","3.25","27.21","6.5","12.12"
"MA-SZZ-2020","5.42","0.47","3.97","11.83","4.35","11.66","1.33","11.64"
"MA-SZZ-2020","6.05","0.47","3.11","11.44","5.03","17.23","1.15","10.11"
"MA-SZZ-2020","3.82","0.35","3.13","8.67","3.07","7.6","1.04","9.06"
"MA-SZZ-2020","7.35","0.62","4.89","15.26","5.92","17.33","1.74","14.94"
