"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","3.24","1.23","1.18","3.28","0.76","51.68","10.16","14.81"
"ECLIPSE-2007","3.56","1.06","1.55","4.26","0.63","40.13","10.48","12.96"
"ECLIPSE-2007","0.13","0.01","0.07","0.19","0.09","5.35","0.13","1.72"
"ECLIPSE-2007","5.57","1.86","2.14","5.93","1.17","51.68","17.13","23.45"
"Metrics-Repo-2010","66.4","22.72","34.33","40.17","14.03","142.57","154.09","117.01"
"Metrics-Repo-2010","116.56","30.39","135.15","135.06","11.68","471.7","361.98","180.86"
"Metrics-Repo-2010","42.15","16.66","15.25","20.74","11.49","71.69","89.4","80.47"
"Metrics-Repo-2010","106.34","33.89","121.96","127.91","17.66","424.64","317","180.08"
"JIRA-HA-2019","11.01","3.95","3.84","15.2","9.73","87.55","141.16","52.77"
"JIRA-HA-2019","9.19","4.49","3.62","12.5","11.93","221.75","455.66","82.15"
"JIRA-HA-2019","8.45","2.76","2.77","11.49","6.69","44.9","49.09","35.21"
"JIRA-HA-2019","14.03","5.6","5.07","19.41","14.34","225.5","399.95","91.24"
"JIRA-RA-2019","11.24","4.03","3.56","13.05","9.22","87.77","132.32","159.35"
"JIRA-RA-2019","9.42","3.43","3.6","10.71","8.57","185.92","486.94","429.25"
"JIRA-RA-2019","8.82","3.13","2.68","10.41","7.27","46.89","28","74.03"
"JIRA-RA-2019","14.65","5.19","5.02","17.1","12.71","171.68","400.23","388.67"
"MA-SZZ-2020","7.67","1.6","1.44","9.8","4.39","156.72","6.63","30.14"
"MA-SZZ-2020","9.05","2.18","1.5","12.49","6.14","1798.8","9.12","66.07"
"MA-SZZ-2020","6.64","1.35","1.24","8.35","3.6","27.01","5.6","23.08"
"MA-SZZ-2020","9.12","1.96","1.66","11.96","5.32","763.21","8.21","42.95"
