"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","149.67","57.66","62.01","59.99","15.21","105.75","65.1","89.34"
"Metrics-Repo-2010","568.19","175.4","259.98","186.99","33.52","216.3","88.67","287.43"
"Metrics-Repo-2010","48.14","25.28","19.02","27.99","8.79","59.64","43.13","35.44"
"Metrics-Repo-2010","518.57","159.6","227.2","177.77","34.63","212.71","102.23","244.6"
"JIRA-HA-2019","52.34","2.42","2.36","8.42","3.88","123.87","65.75","28.38"
"JIRA-HA-2019","242.45","1.52","2.13","5.29","3.69","358.58","212.54","45.19"
"JIRA-HA-2019","8.48","1.97","1.75","6.75","2.75","39.47","20.15","16.92"
"JIRA-HA-2019","264.65","3.01","3.34","10.59","5.42","364.81","196.59","52.9"
"JIRA-RA-2019","7.25","2.68","1.82","6.31","4.43","27","240.81","119"
"JIRA-RA-2019","4.65","3.54","1.82","4.61","3.8","91.37","1193.73","358.63"
"JIRA-RA-2019","5.77","1.8","1.35","4.91","3.27","8.6","23.29","46.32"
"JIRA-RA-2019","9.1","4.59","2.77","8.2","5.85","89.07","1287.55","365.17"
"MA-SZZ-2020","60.69","10.59","24.08","28.76","6.57","167.01","26.59","98.51"
"MA-SZZ-2020","82.46","21.48","42.5","25.51","5.22","738.87","39.87","146.21"
"MA-SZZ-2020","42.63","6.19","14.05","21.94","5.4","48.46","18.26","67.67"
"MA-SZZ-2020","96.17","19.73","39.54","36.87","8.74","702.28","42.23","149.42"
