"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","11.74","5.15","62.01","59.99","7.13","36.96","12.48","18.43"
"Metrics-Repo-2010","13.79","4.88","259.98","186.99","9.68","62.09","14.24","23.24"
"Metrics-Repo-2010","8.85","3.92","19.02","27.99","5.08","23.21","9.23","12.5"
"Metrics-Repo-2010","18.65","7.14","227.2","177.77","12.22","65.11","17.95","27.95"
"JIRA-HA-2019","5.38","0.92","2.36","8.42","3.8","34.38","2.53","7.61"
"JIRA-HA-2019","4.01","0.59","2.13","5.29","3.68","73.44","2.66","7.97"
"JIRA-HA-2019","4.2","0.74","1.75","6.75","2.67","17.19","1.83","5.57"
"JIRA-HA-2019","7.04","1.14","3.34","10.59","5.33","70.57","3.73","10.99"
"JIRA-RA-2019","4.02","1.05","1.82","6.31","4.31","10.42","2.56","9.54"
"JIRA-RA-2019","2.55","1.36","1.82","4.61","3.75","25.66","3.22","9.1"
"JIRA-RA-2019","3.23","0.71","1.35","4.91","3.14","3.65","1.65","6.84"
"JIRA-RA-2019","5.04","1.77","2.77","8.2","5.7","22.61","3.85","13.2"
"MA-SZZ-2020","18.68","1.85","24.08","28.76","5.96","29.25","2.71","30.41"
"MA-SZZ-2020","15.57","1.2","42.5","25.51","4.97","26.03","2.7","47.81"
"MA-SZZ-2020","14.42","1.55","14.05","21.94","4.89","22.11","2.07","20.86"
"MA-SZZ-2020","23.43","2.2","39.54","36.87","8.03","37.28","3.68","51.47"
