"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","1.16","0.41","1.18","3.28","0.71","36.36","1.95","5.64"
"ECLIPSE-2007","1.09","0.36","1.55","4.26","0.59","23.62","2.21","3.93"
"ECLIPSE-2007","0.05","0","0.07","0.19","0.09","9.09","0.02","1.11"
"ECLIPSE-2007","1.88","0.63","2.14","5.93","1.11","36.36","3.4","7.9"
"Metrics-Repo-2010","9.64","7.02","34.33","40.17","10.19","35.98","10.9","31.65"
"Metrics-Repo-2010","8.8","7.81","135.15","135.06","10.13","85.18","12.15","46.85"
"Metrics-Repo-2010","7.74","5.36","15.25","20.74","8.11","22.89","8.08","21.98"
"Metrics-Repo-2010","12.08","9.63","121.96","127.91","13.35","86.98","14.37","47.52"
"JIRA-HA-2019","7.08","1.61","3.84","15.2","9.58","36.89","4.38","24.36"
"JIRA-HA-2019","6.03","1.76","3.62","12.5","11.86","40.4","5.22","64.04"
"JIRA-HA-2019","5.44","1.16","2.77","11.49","6.56","26.04","3.21","13.35"
"JIRA-HA-2019","9.21","2.25","5.07","19.41","14.2","51.9","6.77","69.93"
"JIRA-RA-2019","6.93","1.62","3.56","13.05","9.04","51.98","3.55","15.28"
"JIRA-RA-2019","5.62","1.37","3.6","10.71","8.49","104.23","3.86","24.49"
"JIRA-RA-2019","5.49","1.26","2.68","10.41","7.12","28.17","2.57","10.4"
"JIRA-RA-2019","8.83","2.09","5.02","17.1","12.5","93.77","4.89","29.82"
"MA-SZZ-2020","5.69","0.75","1.44","9.8","4.27","8.58","2.37","11.39"
"MA-SZZ-2020","7.25","1","1.5","12.49","6.07","29.27","2.58","15.63"
"MA-SZZ-2020","4.82","0.63","1.24","8.35","3.5","5.64","2.05","9.6"
"MA-SZZ-2020","6.85","0.92","1.66","11.96","5.2","13.9","2.78","13.87"
