Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.0,0.0,1.0,0.0,0.0
JIRA-HA-2019,Ranked1,0.0,0.0,1.0,0.0,0.0
JIRA-RA-2019,Ranked1,0.0,0.1875,0.6875,0.125,0.0
MA-SZZ-2020,Ranked1,0.0,0.0,0.7916666666666666,0.20833333333333334,0.0
Metrics-Repo-2010,Ranked2,0.225,0.775,0.0,0.0,0.0
JIRA-HA-2019,Ranked2,0.125,0.78125,0.0,0.09375,0.0
JIRA-RA-2019,Ranked2,0.0,0.59375,0.1875,0.21875,0.0
MA-SZZ-2020,Ranked2,0.0,0.7916666666666666,0.0,0.20833333333333334,0.0
Metrics-Repo-2010,Ranked3,0.775,0.225,0.0,0.0,0.0
JIRA-HA-2019,Ranked3,0.4375,0.125,0.0,0.4375,0.0
JIRA-RA-2019,Ranked3,0.46875,0.0,0.0,0.53125,0.0
MA-SZZ-2020,Ranked3,0.20833333333333334,0.20833333333333334,0.0,0.5833333333333334,0.0
