"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","13.4","6.89","2.51","6.79","4.67","5.88","6.33","26.44","10.74"
"ECLIPSE-2007","4.74","1.07","0.14","0.27","0.34","0.48","5.8","5.74","3.69"
"ECLIPSE-2007","[8.33,16.53]","[5.67,7.54]","[2.4,2.6]","[6.62,7.1]","[4.41,4.89]","[5.33,6.18]","[1.19,10.14]","[21.22,30.23]","[8.25,12.99]"
"Metrics-Repo-2010","86.92","37.73","47.76","55.53","36.33","48.36","56.3","172.19","87.67"
"Metrics-Repo-2010","148.64","59.86","83.36","82.26","52.12","53.83","127.8","507.71","169.08"
"Metrics-Repo-2010","[60.63,149.26]","[27.4,60.94]","[31.61,72.34]","[40,83.13]","[26.59,56.39]","[37.11,67.53]","[30.05,100.53]","[90.68,427.28]","[55.34,159.54]"
"JIRA-HA-2019","12.24","11.68","3.68","15.12","8.89","12.94","27.5","61.81","32.13"
"JIRA-HA-2019","10.44","9.35","3.5","13.32","7.58","11.71","107.7","90.6","38.39"
"JIRA-HA-2019","[9.34,16.14]","[9.27,14.99]","[2.8,5.08]","[11.62,19.43]","[6.68,11.51]","[9.51,17.26]","[3.36,95.29]","[38.35,98.42]","[23.28,50.79]"
"JIRA-RA-2019","12.73","9.87","4.32","16.06","9.92","13.73","5.59","126.65","69.15"
"JIRA-RA-2019","12.8","8.6","3.9","13.81","8.09","10.28","11.34","391.16","102.97"
"JIRA-RA-2019","[9.13,17.4]","[7.35,12.41]","[3.21,5.73]","[12.19,20.24]","[7.54,12.42]","[10.81,17.35]","[3.39,12.47]","[39.23,344.69]","[46.14,116.14]"
"MA-SZZ-2020","4.72","2.11","2.07","7.76","3.69","5.76","6.42","6.09","9.29"
"MA-SZZ-2020","5.88","2.96","2.31","7.91","4.95","9.63","22.53","10.12","14.98"
"MA-SZZ-2020","[3.8,5.7]","[1.67,2.57]","[1.75,2.44]","[6.66,9.12]","[3.01,4.58]","[4.43,7.64]","[3.6,10.85]","[4.84,8]","[7.11,12.14]"
"IND-JLMIV+R-2020","13.84","4.78","2.5","15.35","9.51","9.86","41.29","12.23","24.37"
"IND-JLMIV+R-2020","19.04","7.29","1.84","8.16","9.82","13","249.74","12.52","41.25"
"IND-JLMIV+R-2020","[11.9,16.51]","[4.06,5.76]","[2.3,2.72]","[14.39,16.28]","[8.53,10.74]","[8.62,11.6]","[21.39,98.18]","[10.8,13.82]","[21.18,31.21]"
