"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.63","2.37","2.51","6.79","4.67","1.47","0","4.36","5.38"
"ECLIPSE-2007","0.43","0.45","0.14","0.27","0.34","0.52","0","0.44","1.05"
"ECLIPSE-2007","[2.13,2.89]","[1.85,2.62]","[2.4,2.64]","[6.62,6.95]","[4.41,4.89]","[0.9,1.81]","[0,0]","[3.86,4.64]","[4.54,6.05]"
"Metrics-Repo-2010","15.41","10.22","47.76","55.53","36.33","12.36","10.03","13.63","16.59"
"Metrics-Repo-2010","13.92","9.94","83.36","82.26","52.12","14.53","23.93","14.33","17.91"
"Metrics-Repo-2010","[12.33,19.48]","[7.98,13.38]","[31.91,78.28]","[39.55,83.67]","[27.43,55.48]","[9.32,16.92]","[5.33,18.02]","[10.4,17.56]","[13.1,23.06]"
"JIRA-HA-2019","6.93","5.01","3.68","15.12","8.89","9.29","7.69","8.05","12.48"
"JIRA-HA-2019","7.73","4.19","3.5","13.32","7.58","9.52","48.04","7.11","11.58"
"JIRA-HA-2019","[5.14,10.52]","[3.8,6.45]","[2.81,5.07]","[11.51,19.96]","[6.9,11.52]","[6.81,13]","[0,23.08]","[6.16,10.55]","[9.23,16.63]"
"JIRA-RA-2019","6.03","4.18","4.32","16.06","9.92","8.67","0","7.56","14.25"
"JIRA-RA-2019","5.79","3.64","3.9","13.81","8.09","6.82","0","6.62","12.04"
"JIRA-RA-2019","[4.38,7.81]","[3.21,5.37]","[3.22,5.6]","[12.17,20.74]","[7.49,12.6]","[6.79,10.98]","[0,0]","[5.71,9.85]","[10.81,17.87]"
"MA-SZZ-2020","3.01","1.03","2.07","7.76","3.69","4.12","2.3","1.81","4.4"
"MA-SZZ-2020","4.19","1.46","2.31","7.91","4.95","7.83","12.04","2.39","6.23"
"MA-SZZ-2020","[2.44,3.77]","[0.83,1.28]","[1.75,2.44]","[6.55,9.07]","[3.02,4.62]","[3.14,5.85]","[0.82,4.95]","[1.44,2.2]","[3.47,5.46]"
"IND-JLMIV+R-2020","15.37","2.06","2.5","15.35","9.51","9.59","13.74","4.57","13.28"
"IND-JLMIV+R-2020","20.35","2.75","1.84","8.16","9.82","12.89","61.46","4.44","9.75"
"IND-JLMIV+R-2020","[13.35,17.96]","[1.76,2.38]","[2.3,2.73]","[14.45,16.32]","[8.48,10.82]","[8.31,11.23]","[8.02,23.95]","[4.06,5.07]","[12.15,14.44]"
