"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","7.7","2.04","16.18","23.6","3.7","4.65","7.28","8.49"
"Metrics-Repo-2010","8.01","1.65","33.44","37.83","8.24","17.82","8.12","15.23"
"Metrics-Repo-2010","5.72","1.62","9.17","15.51","2.14","0.9","5.31","4.68"
"Metrics-Repo-2010","10.92","2.68","31.67","40.56","8.52","13.91","10.3","14.74"
"JIRA-HA-2019","4.93","0.6","0.85","5.04","1.28","0","1.4","3.08"
"JIRA-HA-2019","5.75","0.53","1.81","7.27","1.6","0","1.04","3.53"
"JIRA-HA-2019","3.35","0.45","0.43","3.11","0.9","0","1.09","2.06"
"JIRA-HA-2019","7.33","0.82","1.88","8.1","2.05","0","1.8","4.44"
"JIRA-RA-2019","6.16","0.53","0.58","3.99","1.16","10.94","0.96","6.07"
"JIRA-RA-2019","9.18","0.59","0.58","4.15","1.07","39.62","0.89","12.15"
"JIRA-RA-2019","3.93","0.38","0.42","2.78","0.87","3.12","0.73","3.45"
"JIRA-RA-2019","10.83","0.81","0.82","5.61","1.57","31.25","1.4","12.85"
"MA-SZZ-2020","10.55","0.87","10.67","12.11","4.45","17.25","1.21","7.17"
"MA-SZZ-2020","18.6","0.66","31.04","20.21","5.73","28.04","0.74","8.01"
"MA-SZZ-2020","7.06","0.69","4.58","8.34","3.06","9.78","1.03","5.11"
"MA-SZZ-2020","19.01","1.07","24.78","22.03","6.3","26.27","1.47","10.05"
