"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","9.05","1.21","0.17","0.61","1.08","1.63","0","0.31","0.51"
"ECLIPSE-2007","12.32","1.62","0.14","0.55","0.98","0.9","0","0.28","0.75"
"ECLIPSE-2007","[1.47,16.31]","[0,2.23]","[0.04,0.26]","[0.15,0.97]","[0.29,1.71]","[0.97,2.66]","[0,0]","[0.06,0.49]","[0,0.96]"
"Metrics-Repo-2010","114.3","10.87","16.23","21.27","24.21","15.71","79.02","26.23","34.85"
"Metrics-Repo-2010","198.06","12.57","32.92","30.08","31.96","19.32","276.44","50.13","132.54"
"Metrics-Repo-2010","[73.62,182.74]","[8.26,14.78]","[10.11,29.45]","[14.64,30.53]","[17.77,34.28]","[11.47,21.57]","[35.15,251.17]","[15.63,44.48]","[10.6,97.63]"
"JIRA-HA-2019","11.25","5.11","1.85","9.24","7.12","4.85","17.75","6.72","1.8"
"JIRA-HA-2019","11.97","9.95","3.31","11.32","8.74","8.5","38.81","15.94","1.83"
"JIRA-HA-2019","[7.97,15.54]","[3.11,10.9]","[1.17,3.97]","[6.4,13.84]","[4.88,10.49]","[2.98,9.3]","[8.26,33.39]","[3.28,16.15]","[1.3,2.51]"
"JIRA-RA-2019","49.41","23.29","13.21","48.24","20.9","9.49","21.46","17.13","4.08"
"JIRA-RA-2019","221.51","107.13","67.95","251.54","72.71","27.42","49.8","64.1","8.26"
"JIRA-RA-2019","[13.96,223.65]","[3.72,116.62]","[1.84,48.25]","[8.38,241.2]","[8.57,66.06]","[4.68,30.72]","[9.32,42.13]","[6.19,58.48]","[2.32,7.95]"
"MA-SZZ-2020","8.73","13.37","1.98","8.23","5.85","10.12","10.99","7.78","5.71"
"MA-SZZ-2020","24.45","60.1","3.58","17.53","13.56","45.04","78.67","31.26","14.18"
"MA-SZZ-2020","[6.71,17.22]","[7.61,25.66]","[1.56,2.57]","[6.27,10.98]","[4.48,8.59]","[5.99,19.98]","[4.47,31.77]","[4.91,14.5]","[4.28,8.31]"
"IND-JLMIV+R-2020","102.65","38.08","6.06","36.45","30.45","49.59","158.86","56.1","34.4"
"IND-JLMIV+R-2020","1091.87","162.81","36.11","150.19","114.01","222.45","1128.8","250.74","212.35"
"IND-JLMIV+R-2020","[35.17,363.89]","[24.05,61.08]","[3.5,15.68]","[25.66,65.36]","[21.82,53.76]","[30.79,89]","[72.16,388.24]","[34.49,94.87]","[17.64,74.34]"
