Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.0,0.1,0.9,0.0,0.0
JIRA-HA-2019,Ranked1,0.0,0.59375,0.40625,0.0,0.0
JIRA-RA-2019,Ranked1,0.09375,0.21875,0.40625,0.28125,0.0
MA-SZZ-2020,Ranked1,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0
Metrics-Repo-2010,Ranked2,0.1,0.9,0.0,0.0,0.0
JIRA-HA-2019,Ranked2,0.21875,0.1875,0.59375,0.0,0.0
JIRA-RA-2019,Ranked2,0.25,0.34375,0.1875,0.21875,0.0
MA-SZZ-2020,Ranked2,0.20833333333333334,0.4166666666666667,0.16666666666666666,0.20833333333333334,0.0
Metrics-Repo-2010,Ranked3,0.575,0.0,0.0,0.425,0.0
JIRA-HA-2019,Ranked3,0.40625,0.21875,0.0,0.375,0.0
JIRA-RA-2019,Ranked3,0.1875,0.34375,0.28125,0.1875,0.0
MA-SZZ-2020,Ranked3,0.4166666666666667,0.5833333333333334,0.0,0.0,0.0
