Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.0,0.075,0.5,0.0,0.425
JIRA-HA-2019,Ranked1,0.0,0.4375,0.5625,0.0,0.0
JIRA-RA-2019,Ranked1,0.15625,0.125,0.3125,0.0,0.40625
MA-SZZ-2020,Ranked1,0.0,0.0,0.625,0.0,0.375
Metrics-Repo-2010,Ranked2,0.2,0.3,0.325,0.175,0.0
JIRA-HA-2019,Ranked2,0.0,0.4375,0.4375,0.0,0.125
JIRA-RA-2019,Ranked2,0.0,0.5625,0.3125,0.125,0.0
MA-SZZ-2020,Ranked2,0.0,0.7916666666666666,0.20833333333333334,0.0,0.0
Metrics-Repo-2010,Ranked3,0.325,0.2,0.1,0.375,0.0
JIRA-HA-2019,Ranked3,0.0,0.0,0.0,0.8125,0.1875
JIRA-RA-2019,Ranked3,0.53125,0.21875,0.25,0.0,0.0
MA-SZZ-2020,Ranked3,0.0,0.20833333333333334,0.0,0.4166666666666667,0.375
