fileName,accuracy,precision,recall,F1,AUC,ER,RI,MCC,AP,RR,Popt,ACC
activemq-5.1.0(5.0.0).csv,0.9284263959390859,0.49,0.35251798561151104,0.41004184100418395,0.8252085387943059,0.856003315031596,5.9446043165467595,0.37876110701903903,0.410858018259383,1.0,0.587746738970629,0.32374100719424503
activemq-5.2.0(5.1.0).csv,0.8857843137254899,0.301507537688442,0.38961038961039,0.33994334277620397,0.7802020355042621,0.7496241830065359,2.99399595379495,0.281280981781362,0.351031341120419,1.0,0.523211580318151,0.24675324675324697
"activemq-5.2.0(5.1.0,5.0.0).csv",0.8509803921568629,0.23021582733812998,0.415584415584416,0.296296296296296,0.7507368029637378,0.672089460784314,2.04961225824535,0.23263800879289803,0.303469407289031,1.0,0.46407483587263504,0.155844155844156
activemq-5.3.0(5.2.0).csv,0.913392479932404,0.34634146341463395,0.5,0.40922190201729103,0.868624782402279,0.826784959864808,4.77317073170732,0.3713087804082821,0.38637941664654707,1.0,0.6541369289994711,0.295774647887324
"activemq-5.3.0(5.2.0,5.1.0).csv",0.9222644697929872,0.3618421052631579,0.38732394366197204,0.37414965986394605,0.8611963918341509,0.834205169566386,5.0315511489992595,0.332978340979426,0.359221237049966,1.0,0.6230826772110639,0.28169014084507
"activemq-5.3.0(5.2.0,5.1.0,5.0.0).csv",0.888043937473595,0.273062730627306,0.5211267605633799,0.35835351089588396,0.848950783351796,0.78030121376129,3.5516865027805196,0.322628549554523,0.34868893231688103,1.0,0.587000071320643,0.25352112676056304
activemq-5.8.0(5.3.0).csv,0.84327485380117,0.19337016574585603,0.517241379310345,0.28150134048257397,0.815482251769004,0.693040935672515,2.25776338350162,0.246394436683815,0.30797738086098303,1.0,0.533058742874921,0.22167487684729104
"activemq-5.8.0(5.3.0,5.2.0).csv",0.833040935672515,0.189189189189189,0.5517241379310339,0.281761006289308,0.801605081379555,0.6862573099415199,2.18732525629077,0.25139521486814104,0.292883257424563,1.0,0.529912690638475,0.21674876847290603
"activemq-5.8.0(5.3.0,5.2.0,5.1.0).csv",0.8505847953216371,0.20384615384615398,0.522167487684729,0.293222683264177,0.8134632670342751,0.7088160653205341,2.43425539977264,0.25893532544414105,0.31693265526900105,1.0,0.542515437142839,0.25615763546798004
"activemq-5.8.0(5.3.0,5.2.0,5.1.0,5.0.0).csv",0.838011695906433,0.18148820326678797,0.492610837438424,0.26525198938992,0.803523002032001,0.672944444444444,2.05758450823849,0.22651172904779698,0.30231260494656104,1.0,0.512224685512677,0.21182266009852202
camel-2.9.0(1.4.0).csv,0.8654494382022471,0.105208333333333,0.505,0.17413793103448302,0.760230852601156,0.7330070085660251,2.74541666666667,0.184253385703309,0.15988350305005802,1.0,0.5672052196392651,0.285
camel-2.10.0(2.9.0).csv,0.90851655294415,0.19316493313521502,0.4180064308681671,0.26422764227642304,0.775896974159379,0.796560136855815,3.9154574946369602,0.24142290497502103,0.20210263920365698,1.0,0.572117299770791,0.26045016077170396
"camel-2.10.0(2.9.0,1.4.0).csv",0.8924690422036899,0.167487684729064,0.437299035369775,0.24220837043633103,0.779704914247338,0.765371121913511,3.26204995802512,0.22308274914306,0.212027406553599,1.0,0.587287843738977,0.279742765273312
camel-2.11.0(2.10.0).csv,0.9339814605471399,0.120553359683794,0.305,0.17280453257790399,0.763765325005783,0.812455754754395,4.33207509881423,0.16229143190723003,0.10238724350403801,0.25,0.553634058635833,0.18
"camel-2.11.0(2.10.0,2.9.0).csv",0.8863893285100609,0.094662638469285,0.47,0.15758591785414902,0.7917233402729592,0.7611614337048599,3.18692849949648,0.17236001678160298,0.12945749163359502,0.5,0.584167957703422,0.26
"camel-2.11.0(2.10.0,2.9.0,1.4.0).csv",0.915894189464165,0.106936416184971,0.37,0.165919282511211,0.7727631274577841,0.78857446639495,3.72979768786127,0.165257185232031,0.128569505772525,1.0,0.561167906196202,0.245
derby-10.3.1.4(10.2.1.6).csv,0.834542157751587,0.20786516853932602,0.471337579617834,0.28849902534113103,0.775786230971765,0.657616818994879,1.9207042152723102,0.23322680952052202,0.24835137506949,1.0,0.46150145496476896,0.197452229299363
derby-10.5.1.1(10.3.1.4).csv,0.681700554528651,0.13815090329436802,0.7222222222222221,0.231935771632471,0.751100110011001,0.518327882838049,1.07610107450703,0.20984766816932998,0.230247038763909,1.0,0.44802498191078105,0.17222222222222197
"derby-10.5.1.1(10.3.1.4,10.2.1.6).csv",0.900184842883549,0.310924369747899,0.41111111111111104,0.354066985645933,0.8174741474147409,0.7859819153719341,3.67250233426704,0.304559075583261,0.315546871977377,1.0,0.501139714149538,0.211111111111111
groovy-1.6.BETA1(1.5.7).csv,0.8465286236297199,0.46399999999999997,0.4957264957264961,0.47933884297520707,0.7944529428904431,0.692868243101348,2.25593162393162,0.3897471250133371,0.500147911936064,1.0,0.42420425556514,0.102564102564103
groovy-1.6.BETA2(1.6.BETA1).csv,0.796380090497738,0.31219512195121996,0.621359223300971,0.415584415584416,0.8138309113285179,0.6267852092760179,1.6794222116978503,0.335115898149712,0.49308317523047,1.0,0.5006917632911551,0.106796116504854
"groovy-1.6.BETA2(1.6.BETA1,1.5.7).csv",0.8552036199095021,0.41610738255033597,0.6019417475728149,0.49206349206349204,0.832800865208906,0.719986133411181,2.57125171043201,0.42042366487258004,0.535535731314677,1.0,0.48572101978462706,0.106796116504854
hbase-0.95.0(0.94.0).csv,0.8951467944877171,0.2375,0.41758241758241793,0.30278884462151395,0.7221096394100199,0.770426665825739,3.3559065934065897,0.262417281761474,0.24487615851298802,1.0,0.34448777880871007,0.0659340659340659
hbase-0.95.2(0.95.0).csv,0.7748091603053442,0.157894736842105,0.6052631578947371,0.250453720508167,0.767398510811914,0.606324972737186,1.54016620498615,0.22176770764914397,0.33258993298509604,1.0,0.6157031972323941,0.307017543859649
"hbase-0.95.2(0.95.0,0.94.0).csv",0.802617230098146,0.166666666666667,0.543859649122807,0.255144032921811,0.753220624235006,0.627044711014177,1.6812865497076002,0.218337193942912,0.299051234092078,1.0,0.46152481493865005,0.192982456140351
