fileName,Ranked1,Ranked2,Ranked3,IL/Ins
flume-1.3.1(1.3.0).csv,0,0,-1,0.24324324324324326
"flume-1.4.0(1.3.1,1.3.0).csv",-1,-6,2,0.242914979757085
flume-1.4.0(1.3.1).csv,0,-4,1,0.24258760107816713
"flume-1.4.0(1.3.1,1.3.0,1.2.0).csv",-1,-1,-4,0.21915103652517276
"flume-1.3.1(1.3.0,1.2.0).csv",0,-1,-2,0.205607476635514
"flume-1.5.0(1.4.0,1.3.1,1.3.0).csv",-1,-1,2,0.19597989949748743
"flume-1.5.0(1.4.0,1.3.1,1.3.0,1.2.0).csv",0,-2,1,0.1882673942701228
"flume-1.5.0(1.4.0,1.3.1).csv",-1,-1,2,0.17475728155339806
"flume-1.5.1(1.5.0,1.4.0,1.3.1,1.3.0).csv",-1,-1,2,0.1668646080760095
"flume-1.5.1(1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",-1,-1,2,0.16513292433537832
flume-1.3.0(1.2.0).csv,-2,1,-2,0.15441176470588236
"flume-1.5.2(1.5.1,1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",-1,-1,2,0.151676206050695
"flume-1.5.2(1.5.1,1.5.0,1.4.0,1.3.1,1.3.0).csv",0,-1,1,0.15133394664213431
"flume-1.5.1(1.5.0,1.4.0,1.3.1).csv",0,-1,1,0.14535768645357686
"flume-1.6.0(1.5.2,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",0,-1,1,0.14305177111716622
"flume-1.6.0(1.5.2,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0).csv",0,-1,1,0.14189189189189189
zeppelin-0.6.0(0.5.6).csv,0,0,-4,0.13297872340425532
"flume-1.5.2(1.5.1,1.5.0,1.4.0,1.3.1).csv",0,-1,1,0.13248337028824833
"flume-1.7.0(1.6.0,1.5.2,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",0,0,0,0.13124641010913268
"flume-1.7.0(1.6.0,1.5.2,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0).csv",0,0,0,0.1292834890965732
"flume-1.6.0(1.5.2,1.5.1,1.5.0,1.4.0,1.3.1).csv",0,0,0,0.12554489973844812
"flume-1.8.0(1.7.0,1.6.0,1.5.2,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",0,0,0,0.1211372064276885
flume-1.5.0(1.4.0).csv,0,0,0,0.11920529801324503
"flume-1.8.0(1.7.0,1.6.0,1.5.2,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0).csv",0,0,0,0.11873840445269017
"flume-1.7.0(1.6.0,1.5.2,1.5.1,1.5.0,1.4.0,1.3.1).csv",0,0,0,0.11443661971830986
"flume-1.5.1(1.5.0,1.4.0).csv",0,0,0,0.1071049840933192
"flume-1.8.0(1.7.0,1.6.0,1.5.2,1.5.1,1.5.0,1.4.0,1.3.1).csv",0,0,0,0.1052012929767852
"flume-1.5.2(1.5.1,1.5.0,1.4.0).csv",0,0,0,0.10397766922540126
"flume-1.6.0(1.5.2,1.5.1,1.5.0,1.4.0).csv",0,0,0,0.1029641185647426
flume-1.6.0(1.5.2).csv,0,0,0,0.1
"flume-1.6.0(1.5.2,1.5.1).csv",0,0,0,0.09897959183673469
"flume-1.6.0(1.5.2,1.5.1,1.5.0).csv",0,0,0,0.09795918367346938
flume-1.5.2(1.5.1).csv,0,0,0,0.09795918367346938
"flume-1.5.2(1.5.1,1.5.0).csv",0,0,0,0.09693877551020408
flume-1.5.1(1.5.0).csv,0,0,0,0.09591836734693877
"flume-1.7.0(1.6.0,1.5.2,1.5.1,1.5.0,1.4.0).csv",0,0,0,0.09518023491292021
"flume-1.7.0(1.6.0,1.5.2,1.5.1,1.5.0).csv",0,0,0,0.08978174603174603
"flume-1.8.0(1.7.0,1.6.0,1.5.2,1.5.1,1.5.0,1.4.0).csv",0,0,0,0.08839050131926121
"flume-1.7.0(1.6.0,1.5.2,1.5.1).csv",0,0,0,0.08781127129750983
"flume-1.7.0(1.6.0,1.5.2).csv",0,0,0,0.08301158301158301
"flume-1.8.0(1.7.0,1.6.0,1.5.2,1.5.1,1.5.0).csv",0,0,0,0.08297789841023652
"flume-1.8.0(1.7.0,1.6.0,1.5.2,1.5.1).csv",0,0,0,0.07994255624700813
"zeppelin-0.6.1(0.6.0,0.5.6).csv",0,0,0,0.07756813417190776
maven-3.0.3(3.0.2).csv,0,-1,-1,0.0752212389380531
"flume-1.8.0(1.7.0,1.6.0,1.5.2).csv",0,0,0,0.07442151344590368
"maven-3.0.4(3.0.3,3.0.2).csv",0,-1,-1,0.07221812822402358
"maven-3.0.3(3.0.2,3.0.1).csv",0,0,0,0.07063197026022305
mahout-0.10.0(0.9).csv,0,0,-1,0.0702054794520548
"maven-3.0.4(3.0.3,3.0.2,3.0.1).csv",0,0,-1,0.07015810276679842
"mahout-0.10.0(0.9,0.8).csv",0,-2,0,0.06987258528565557
"maven-3.0.5(3.0.4,3.0.3,3.0.2).csv",0,-1,-1,0.06967615309126594
mahout-0.9(0.8).csv,0,0,0,0.06956521739130435
maven-3.0.4(3.0.3).csv,0,-1,-1,0.06921944035346098
"maven-3.0.5(3.0.4,3.0.3,3.0.2,3.0.1).csv",0,0,-1,0.06876155268022181
"maven-3.1.0(3.0.5,3.0.4,3.0.3,3.0.2).csv",0,-1,-1,0.06840750275836704
"maven-3.1.0(3.0.5,3.0.4,3.0.3,3.0.2,3.0.1).csv",0,0,-1,0.06792675723567632
flume-1.7.0(1.6.0).csv,0,0,0,0.06776556776556776
"maven-3.0.5(3.0.4,3.0.3).csv",0,-1,-1,0.06691176470588235
shiro-1.2.3(1.2.2).csv,0,-3,1,0.06666666666666667
"shiro-1.2.4(1.2.3,1.2.2).csv",0,-3,1,0.06659505907626208
"maven-3.0.4(3.0.3,3.0.2,3.0.1,3.0.0).csv",0,0,0,0.0665922619047619
"shiro-1.2.5(1.2.4,1.2.3,1.2.2).csv",0,-2,1,0.06657122405153901
"shiro-1.2.5(1.2.4,1.2.3).csv",0,0,0,0.06652360515021459
shiro-1.2.5(1.2.4).csv,0,0,0,0.06652360515021459
shiro-1.2.4(1.2.3).csv,0,0,0,0.06652360515021459
"zeppelin-0.6.2(0.6.1,0.6.0,0.5.6).csv",0,0,0,0.06623376623376623
"maven-3.0.5(3.0.4,3.0.3,3.0.2,3.0.1,3.0.0).csv",0,0,0,0.06619174829326209
"maven-3.1.0(3.0.5,3.0.4,3.0.3).csv",0,0,-1,0.06614404703576678
"shiro-1.2.6(1.2.5,1.2.4,1.2.3,1.2.2).csv",0,-2,1,0.06602254428341385
maven-3.0.2(3.0.1).csv,0,0,0,0.06596701649175413
"maven-3.1.0(3.0.5,3.0.4,3.0.3,3.0.2,3.0.1,3.0.0).csv",0,0,0,0.06592592592592593
"shiro-1.2.6(1.2.5,1.2.4,1.2.3).csv",0,0,0,0.06580829756795423
"maven-3.0.3(3.0.2,3.0.1,3.0.0).csv",0,0,0,0.06570433051269288
"shiro-1.3.0(1.2.6,1.2.5,1.2.4,1.2.3,1.2.2).csv",0,-2,1,0.06569343065693431
"shiro-1.3.0(1.2.6,1.2.5,1.2.4,1.2.3).csv",0,0,0,0.06545064377682404
"shiro-1.2.6(1.2.5,1.2.4).csv",0,0,0,0.06545064377682404
"shiro-1.3.0(1.2.6,1.2.5,1.2.4).csv",0,0,0,0.06509298998569385
maven-3.1.0(3.0.5).csv,0,0,0,0.06461086637298091
"maven-3.1.0(3.0.5,3.0.4).csv",0,0,0,0.06461086637298091
maven-3.0.5(3.0.4).csv,0,0,-1,0.06461086637298091
shiro-1.3.0(1.2.6).csv,0,0,0,0.06437768240343347
"shiro-1.3.0(1.2.6,1.2.5).csv",0,0,0,0.06437768240343347
shiro-1.2.6(1.2.5).csv,0,0,0,0.06437768240343347
"shiro-1.3.0(1.2.6,1.2.5,1.2.4,1.2.3,1.2.2,1.2.1).csv",0,0,-1,0.06337271750805586
"shiro-1.2.6(1.2.5,1.2.4,1.2.3,1.2.2,1.2.1).csv",0,0,-1,0.06317146540610227
"flume-1.8.0(1.7.0,1.6.0).csv",0,0,-1,0.06311992786293959
"shiro-1.2.5(1.2.4,1.2.3,1.2.2,1.2.1).csv",0,0,-1,0.06286942504030091
"shiro-1.3.1(1.3.0,1.2.6,1.2.5,1.2.4,1.2.3,1.2.2).csv",0,-1,1,0.0627214741318214
"shiro-1.3.1(1.3.0,1.2.6,1.2.5,1.2.4,1.2.3).csv",0,0,0,0.06194314806957998
"shiro-1.2.4(1.2.3,1.2.2,1.2.1).csv",0,0,-1,0.06164874551971326
