fileName,accuracy,precision,recall,F1,AUC,ER,RI,AP,RR,Popt,ACC,IL/Ins
poi-2.5(2.0).csv,0.628571428571429,0.666666666666667,0.375,0.48,0.705900493421053,0.314285714285714,0.4583333333333329,0.6834186534923591,1.0,0.29793432824202304,0.21875,0.6957928802588996
"poi-3.0(2.5,2.0).csv",0.6336898395721919,0.719806763285024,0.6535087719298249,0.6850574712643679,0.7234589041095891,0.153070380073933,0.180735655564031,0.7926617279447878,1.0,0.348653974616659,0.0657894736842105,0.660377358490566
poi-3.0(2.5).csv,0.572192513368984,0.7236842105263158,0.482456140350877,0.578947368421053,0.643715453016102,0.157608167233836,0.18709602954755306,0.657066964283363,0.33333333333333304,0.278746173503578,0.114035087719298,0.631578947368421
xalan-2.6(2.5).csv,0.710659898477157,0.8097014925373129,0.775,0.791970802919708,0.7597901002506271,0.122318650728672,0.13936567164179098,0.8641450217917359,1.0,0.6323084569713521,0.28571428571428603,0.5879265091863517
"xalan-2.7(2.6,2.5).csv",0.714529914529915,1.0,0.7135506003430531,0.832832832832833,0.944253859348199,0.00341880341880342,0.00343053173241852,0.999795226882778,1.0,0.258342757777611,0.102915951972556,0.5675015271838729
xalan-2.7(2.6).csv,0.6444444444444439,1.0,0.6432246998284731,0.782881002087683,0.8091766723842199,0.00341880341880342,0.00343053173241852,0.999208677298799,1.0,0.091738309820152,0.0668953687821612,0.5497142857142857
"poi-3.0(2.5,2.0,1.5).csv",0.671122994652406,0.7837837837837841,0.635964912280702,0.7021791767554479,0.7505106945445809,0.22220173335792,0.285680417259365,0.79089433153447,1.0,0.320105784548612,0.0570175438596491,0.5454545454545454
"xalan-2.7(2.6,2.5,2.4).csv",0.548717948717949,1.0,0.547169811320755,0.7073170731707321,0.8409090909090909,0.00341880341880342,0.00343053173241852,0.9993595845134152,1.0,0.247352894883341,0.0909090909090909,0.5430177258971033
"xalan-2.6(2.5,2.4).csv",0.66243654822335,0.869346733668342,0.6178571428571429,0.7223382045929019,0.7417449874686719,0.18253572371702695,0.22329504666188105,0.8440916367458672,1.0,0.444228740541472,0.196428571428571,0.53894297635605
"poi-2.5(2.0,1.5).csv",0.7214285714285709,0.735849056603774,0.609375,0.666666666666667,0.8103412828947372,0.37875457875457896,0.609669811320755,0.800359608832268,1.0,0.32896739411679604,0.109375,0.4852941176470588
xalan-2.5(2.4).csv,0.67515923566879,0.744360902255639,0.592814371257485,0.66,0.7280744633182611,0.285498295052435,0.39957678627707,0.710670982967419,1.0,0.544075833108458,0.21556886227544894,0.48372781065088755
xerces-1.4(1.3).csv,0.7372262773722629,0.916666666666667,0.3928571428571429,0.55,0.885582010582011,0.55408095554081,1.24255952380952,0.8480174181805269,1.0,0.35991409554050696,0.214285714285714,0.4700665188470067
log4j-1.2(1.1).csv,0.506849315068493,0.9714285714285708,0.492753623188406,0.653846153846154,0.659873188405797,0.0269943593875907,0.0277432712215321,0.965282645611152,1.0,0.143813656438716,0.072463768115942,0.46601941747572817
