Dataset,F1,AUC,MAP,MRR,ER,RI,Popt,ACC
ECLIPSE-2007,1/3	,0/3	,0/3	,2/3	,0/3	,1/3	,2/3	,1/3	
Metrics-Repo-2010,36/55	,30/55	,33/55	,18/55	,23/55	,32/55	,45/55	,40/55	
JIRA-HA-2019,26/39	,10/39	,22/39	,16/39	,9/39	,23/39	,29/39	,31/39	
JIRA-RA-2019,27/41	,12/41	,22/41	,23/41	,6/41	,23/41	,29/41	,31/41	
MA-SZZ-2020,68/205	,15/205	,60/205	,36/205	,5/205	,66/205	,70/205	,113/205	
