"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","48.87","5.93","1.42","5.74","3.88","4.73","1.3","15.59","5.2"
"ECLIPSE-2007","66.2","0.85","0.33","0.65","0.82","0.67","0.1","5.89","0.19"
"ECLIPSE-2007","[8.4,87.83]","[5.18,6.49]","[1.2,1.61]","[5.34,6.12]","[3.38,4.82]","[4.24,5.15]","[1.19,1.3]","[10.7,19.4]","[4.98,5.31]"
"Metrics-Repo-2010","116.02","27.05","84.18","95.36","52.07","67.26","32.89","126.28","217.14"
"Metrics-Repo-2010","346.35","30.73","252.46","252.73","126.77","163.42","68.48","368.93","745.98"
"Metrics-Repo-2010","[58.59,287.6]","[19.89,36.22]","[36.61,200.77]","[48.71,209.14]","[27.06,107.94]","[38.34,141.38]","[19.94,59.32]","[57.79,299.59]","[73.49,607.77]"
"JIRA-HA-2019","78.47","13.52","2.13","17.33","11.14","14.57","3.2","76.42","47.78"
"JIRA-HA-2019","292.41","9.81","1.73","15.39","9.24","11.52","2.9","136.79","54.7"
"JIRA-HA-2019","[29.26,274.96]","[10.8,16.69]","[1.65,2.74]","[12.64,22.07]","[8.52,14.29]","[11.39,18.43]","[2.39,4.22]","[49.92,152.89]","[34.44,69.9]"
"JIRA-RA-2019","47.73","12.91","2.91","14.22","9.22","11.08","2.66","76.86","49.39"
"JIRA-RA-2019","143.89","15.35","5.11","14.04","8.99","9.75","3.01","185.17","121.16"
"JIRA-RA-2019","[22.83,156.52]","[8.96,18.98]","[1.9,5.96]","[9.88,18.55]","[6.49,12.18]","[8.49,14.31]","[1.87,3.64]","[40.12,196.14]","[28.82,132.3]"
"MA-SZZ-2020","9.72","3.83","2.79","7.04","4.5","4.98","2.41","78.41","35.45"
"MA-SZZ-2020","12.5","4.96","3.39","7.02","4.91","5.01","4.81","677.76","110"
"MA-SZZ-2020","[7.94,12.09]","[3.15,4.68]","[2.25,3.41]","[5.93,8.16]","[3.7,5.33]","[4.21,5.77]","[1.88,3.74]","[20.85,306.49]","[23.52,65.86]"
"IND-JLMIV+R-2020","84.64","5.6","1.9","56.02","91.38","9.83","42.15","89.67","79.6"
"IND-JLMIV+R-2020","265.95","5.56","1.98","305.17","572.25","10.55","159.28","231.3","135.82"
"IND-JLMIV+R-2020","[50.49,182.23]","[4.61,6.79]","[1.56,2.37]","[13.22,161.81]","[9.66,278.07]","[8.22,12.51]","[22.3,96.45]","[59.62,154.9]","[60.48,119.43]"
