"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","4.8","1.91","1.42","5.74","3.88","0.67","0","2.47","4.45"
"ECLIPSE-2007","0.26","0.5","0.33","0.65","0.82","0.82","0","1.8","0.57"
"ECLIPSE-2007","[4.58,4.97]","[1.37,2.24]","[1.2,1.61]","[5.34,6.49]","[3.38,4.82]","[0.11,1.61]","[0,0]","[1.12,3.6]","[3.9,4.83]"
"Metrics-Repo-2010","14.57","6.39","84.18","95.36","52.07","6.74","9.65","320.59","17.06"
"Metrics-Repo-2010","16.32","5.48","252.46","252.73","126.77","10.1","37.26","2300.74","17.63"
"Metrics-Repo-2010","[10.99,19.68]","[5.08,8.04]","[36.45,196.45]","[48.05,199.61]","[28.38,108.26]","[4.79,10.28]","[2.92,26.95]","[13.89,1842.22]","[13.12,22.17]"
"JIRA-HA-2019","13.95","5.41","2.13","17.33","11.14","9.36","0","9.56","16.54"
"JIRA-HA-2019","13.47","4.07","1.73","15.39","9.24","8.63","0","8.02","15.97"
"JIRA-HA-2019","[10.34,18.72]","[4.28,6.71]","[1.64,2.82]","[13.08,22.38]","[8.48,14.23]","[6.97,12.48]","[0,0]","[6.98,12.26]","[12.23,22.63]"
"JIRA-RA-2019","10.44","3.98","2.91","14.22","9.22","6.42","0","6.68","15.13"
"JIRA-RA-2019","11.16","4.25","5.11","14.04","8.99","6.07","0","6.67","16.24"
"JIRA-RA-2019","[7.5,14.1]","[2.8,5.33]","[1.89,5.65]","[10.42,18.66]","[6.72,12.49]","[4.8,8.76]","[0,0]","[4.93,8.88]","[11.4,23.04]"
"MA-SZZ-2020","2.75","1.35","2.79","7.04","4.5","2.41","0","2.56","4.72"
"MA-SZZ-2020","2.82","1.73","3.39","7.02","4.91","2.14","0","3.23","5.88"
"MA-SZZ-2020","[2.31,3.31]","[1.09,1.63]","[2.27,3.45]","[5.91,8.24]","[3.71,5.33]","[2.11,2.77]","[0,0]","[2.13,3.19]","[3.86,5.76]"
"IND-JLMIV+R-2020","9.96","2.3","1.9","56.02","91.38","6.66","16.49","5.61","11.42"
"IND-JLMIV+R-2020","7.9","2.19","1.98","305.17","572.25","10.21","66.15","4.35","10.5"
"IND-JLMIV+R-2020","[8.38,11.83]","[1.91,2.77]","[1.57,2.4]","[12.48,165.91]","[9.84,296.42]","[5.08,9.13]","[7.18,36.23]","[4.85,6.48]","[9.69,13.86]"
