fileName,accuracy,precision,recall,F1,AUC,ER,RI,MCC,AP,RR,Popt,ACC,IL/Ins
poi-2.5(2.0).csv,0.75,0.8222222222222221,0.578125,0.678899082568807,0.767269736842105,0.444015444015444,0.7986111111111109,0.504385964912281,0.7878039325910141,1.0,-0.954800073693379,0.0588235294117647,0.6957928802588996
"poi-3.0(2.5,2.0).csv",0.660427807486631,0.817610062893082,0.570175438596491,0.6718346253229971,0.790570175438596,0.254380913204443,0.341167383868476,0.366638302131905,0.820067516450808,1.0,-0.226686890322518,0.0299003322259136,0.660377358490566
poi-3.0(2.5).csv,0.692513368983957,0.753363228699552,0.736842105263158,0.7450110864745011,0.68320415765441,0.190794499618029,0.23578003304224696,0.358065087290551,0.679030430621535,0.5,-0.0801885118269936,0.0548172757475083,0.631578947368421
xalan-2.6(2.5).csv,0.7436548223350251,0.845559845559846,0.782142857142857,0.8126159554730981,0.8080670426065161,0.159539206823818,0.189823496966354,0.412059145501877,0.8852046519201179,0.5,0.455817609837457,0.20326409495549,0.5879265091863517
"xalan-2.7(2.6,2.5).csv",0.567521367521368,1.0,0.566037735849057,0.72289156626506,0.847770154373928,0.00341880341880342,0.00343053173241852,0.066629660465277,0.9993821197814228,1.0,0.311223512994926,0.136986301369863,0.5675015271838729
xalan-2.7(2.6).csv,0.6940170940170939,1.0,0.692967409948542,0.818642350557244,0.9468267581475128,0.00341880341880342,0.00343053173241852,0.0875048481655164,0.999801959746591,1.0,0.164499143312201,0.116438356164384,0.5497142857142857
"poi-3.0(2.5,2.0,1.5).csv",0.6898395721925129,0.8294117647058821,0.618421052631579,0.7085427135678392,0.779530161018986,0.26499032882011603,0.360526315789474,0.4112797653930639,0.817370779180038,1.0,-0.132427010787892,0.0249169435215947,0.5454545454545454
"xalan-2.7(2.6,2.5,2.4).csv",0.564102564102564,1.0,0.5626072041166379,0.7200878155872671,0.88336192109777,0.00341880341880342,0.00343053173241852,0.066168468169484,0.999546259725876,1.0,0.255975895097472,0.11815068493150695,0.5430177258971033
"xalan-2.6(2.5,2.4).csv",0.776649746192893,0.8870967741935479,0.7857142857142858,0.833333333333333,0.827255639097744,0.19889247808029506,0.248271889400922,0.507111607996845,0.896564835696219,1.0,0.23550526950765804,0.197329376854599,0.53894297635605
"poi-2.5(2.0,1.5).csv",0.8142857142857142,0.895833333333333,0.671875,0.767857142857143,0.897101151315789,0.489700996677741,0.959635416666667,0.6360864784420639,0.90272928309972,1.0,-0.946955954999495,0.0588235294117647,0.4852941176470588
xalan-2.5(2.4).csv,0.681528662420382,0.7815126050420171,0.55688622754491,0.65034965034965,0.751883987127785,0.3194644202451889,0.469430886126906,0.390865558422757,0.744857060626764,1.0,0.38010105194126703,0.112266112266112,0.48372781065088755
xerces-1.4(1.3).csv,0.7956204379562041,0.911764705882353,0.5535714285714289,0.6888888888888891,0.941247795414462,0.551683541323287,1.23056722689076,0.587865122664857,0.9103837368052968,1.0,7.57228682670241,0.13471502590673598,0.4700665188470067
log4j-1.2(1.1).csv,0.404109589041096,0.947368421052632,0.39130434782608703,0.5538461538461539,0.581521739130435,0.00228310502283105,0.0022883295194508,0.00760598627247821,0.960920016087533,1.0,0.128006266027696,0.105633802816901,0.46601941747572817
"xerces-1.4(1.3,1.2).csv",0.7518248175182479,0.866666666666667,0.464285714285714,0.604651162790698,0.8376322751322751,0.52835485682201,1.1202380952381,0.493208530989419,0.7963986331447909,1.0,5.95914447051543,0.13471502590673598,0.41169853768278963
"log4j-1.2(1.1,1.0).csv",0.465753424657534,0.96875,0.449275362318841,0.6138613861386141,0.699275362318841,0.0243040212107821,0.0249094202898551,0.0913989551343259,0.97154104275387,1.0,0.141124229661663,0.11267605633802802,0.39908256880733944
lucene-2.4(2.2).csv,0.669090909090909,0.683333333333333,0.78343949044586,0.7299703264094959,0.7236856310050741,0.164523281596452,0.19692144373673,0.312662850968891,0.7665554965995659,1.0,0.0443128289038098,0.106481481481481,0.3803418803418803
velocity-1.6(1.5).csv,0.66,0.5871559633027521,0.914285714285714,0.715083798882682,0.688928571428571,0.20520833333333305,0.25819134993446896,0.393792132616488,0.595440938264141,0.5,-0.24199483559357104,0.0136363636363636,0.37850467289719625
"xerces-1.4(1.3,1.2,0.init).csv",0.562043795620438,0.4655172413793099,0.4821428571428571,0.473684210526316,0.5660273368606701,0.12192484455258197,0.138854679802956,0.0989264618258039,0.495463020587724,1.0,5.65143877472088,0.0829015544041451,0.3720266412940057
"lucene-2.4(2.2,2.0).csv",0.669090909090909,0.6853932584269661,0.777070063694268,0.7283582089552242,0.72943430853935,0.167034277198212,0.200529592786087,0.313336817788065,0.7575828213812901,1.0,-0.0432741341200633,0.14351851851851902,0.37142857142857144
lucene-2.2(2.0).csv,0.786206896551724,0.833333333333333,0.842105263157895,0.837696335078534,0.8096842105263159,0.213793103448276,0.271929824561404,0.524651863158053,0.868779670707201,1.0,-0.271052736981781,0.0583333333333333,0.3602150537634409
xerces-1.3(1.2).csv,0.719665271966527,0.328358208955224,0.5,0.396396396396396,0.587820512820513,0.439330543933054,0.7835820895522391,0.232309361501928,0.294135110935114,0.5,0.156714172881202,0.13780918727915198,0.3515981735159817
log4j-1.1(1.0).csv,0.8,0.827586206896552,0.8,0.8135593220338979,0.860666666666667,0.340909090909091,0.517241379310345,0.598406371687662,0.890553596140085,1.0,-0.14631743053634,0.141176470588235,0.3391304347826087
"xerces-1.3(1.2,0.init).csv",0.589958158995816,0.2,0.409090909090909,0.268656716417911,0.468065268065268,0.0794979079497908,0.0863636363636364,0.0318836529477436,0.25122979534696,0.33333333333333304,0.389153420509027,0.0706713780918728,0.29833333333333334
"velocity-1.6(1.5,1.4).csv",0.6466666666666671,0.576576576576577,0.914285714285714,0.707182320441989,0.683928571428571,0.190625,0.235521235521236,0.371674942849613,0.5626960863208771,0.166666666666667,0.706671652492207,0.37272727272727296,0.2982885085574572
velocity-1.5(1.4).csv,0.759398496240602,0.8016528925619829,0.923809523809524,0.858407079646018,0.595918367346939,0.0151926207270754,0.0154269972451791,0.0948634899545365,0.84167523164447,1.0,0.905938874409223,0.319327731092437,0.21025641025641026
poi-2.0(1.5).csv,0.765957446808511,0.534883720930233,0.92,0.6764705882352939,0.8281159420289859,0.50277520814061,1.01116279069767,0.558876281282501,0.507201860254563,0.5,-181.73846539619495,0.11764705882352902,0.20851063829787234
xerces-1.2(0.init).csv,0.457746478873239,0.18285714285714305,0.7441860465116279,0.29357798165137605,0.630753642767538,0.17198503521126798,0.207707641196013,0.111169065674511,0.22016037089370105,0.25,0.199117095365131,0.0458715596330275,0.15432098765432098
camel-1.6(1.4).csv,0.789731051344743,0.373134328358209,0.6198347107438019,0.46583850931677,0.816397310788859,0.603569682151589,1.52251140989269,0.362069797217465,0.44173238413107896,1.0,0.0310928807993573,0.11395101171459,0.14625445897740785
"camel-1.6(1.4,1.2).csv",0.844743276283619,0.47972972972973,0.586776859504132,0.527881040892193,0.858016054637941,0.69165604876201,2.24313156131338,0.43926287373426703,0.5036088902994921,1.0,0.19989943482549696,0.13099041533546302,0.143256464011181
camel-1.4(1.2).csv,0.786908077994429,0.408284023668639,0.565573770491803,0.474226804123711,0.7904747496974359,0.5838278632271611,1.40285187700068,0.35214845158927394,0.452644570192633,1.0,0.18153999748953495,0.102380952380952,0.13898305084745763
"camel-1.6(1.4,1.2,1.0).csv",0.828850855745721,0.440993788819876,0.586776859504132,0.5035460992907801,0.8512396694214879,0.664571782774889,1.98126379549304,0.408647506152383,0.507679632921004,1.0,0.179086556694506,0.129925452609159,0.13163841807909604
"camel-1.4(1.2,1.0).csv",0.8105849582172701,0.450704225352113,0.524590163934426,0.484848484848485,0.7681950709649029,0.62299791086351,1.65250519510506,0.371221011212748,0.4670765908202539,1.0,0.14158999831571806,0.110714285714286,0.11840688912809473
synapse-1.2(1.1).csv,0.737704918032787,0.6,0.44,0.507692307692308,0.7813017751479291,0.4877049180327871,0.952,0.342117012098386,0.6266991315918411,1.0,-0.391688324228429,0.100313479623824,0.09009009009009009
camel-1.2(1.0).csv,0.698818897637795,0.517543859649123,0.37579617834394896,0.435424354243542,0.66347288003339,0.40284265314293294,0.674600514023913,0.24268741204844504,0.512820333888087,1.0,-0.1329102110762,0.126315789473684,0.08259587020648967
"synapse-1.2(1.1,1.0).csv",0.7213114754098359,0.5538461538461539,0.48,0.5142857142857139,0.7735305719921101,0.4450136612021861,0.8018461538461541,0.321890746915482,0.621167522244221,1.0,-0.492179547187845,0.103448275862069,0.079155672823219
synapse-1.1(1.0).csv,0.7970297029702971,0.6785714285714289,0.3725490196078429,0.481012658227848,0.6993896896506949,0.627931214174049,1.68767507002801,0.39345026401344,0.5116937432051579,1.0,-0.353650636781984,0.102766798418972,0.06369426751592357
jedit-4.1(4.0).csv,0.8111888111888109,0.621621621621622,0.6388888888888891,0.6301369863013699,0.87331256490135,0.595013681970204,1.46921921921922,0.503493527238166,0.686618597237163,1.0,-0.23217083303733105,0.134078212290503,0.06143344709897611
"jedit-4.2(4.1,4.0).csv",0.7796610169491529,0.34615384615384603,0.7826086956521741,0.48,0.872564935064935,0.624607658505964,1.66387959866221,0.4147363676059171,0.560438083052182,1.0,-0.27092944996902696,0.0875,0.05396290050590219
ant-1.5(1.4).csv,0.7826086956521741,0.265625,0.566666666666667,0.361702127659574,0.7504742547425469,0.59079283887468,1.44375,0.2770174502453789,0.254257319013047,0.5,0.296561542727531,0.163398692810458,0.05084745762711865
"ant-1.6(1.5,1.4).csv",0.781065088757396,0.581081081081081,0.5,0.5375,0.775032299741602,0.562130177514793,1.28378378378378,0.3970587190902961,0.537844213817761,0.5,-0.4429451318878541,0.106132075471698,0.04925053533190578
ant-1.6(1.5).csv,0.7840236686390529,0.586666666666667,0.511627906976744,0.546583850931677,0.787075489110373,0.566299085529855,1.30573643410853,0.4073401651449961,0.591295241101934,1.0,-0.7562365369111851,0.0919811320754717,0.04827586206896552
"jedit-4.1(4.0,3.2).csv",0.8076923076923079,0.6,0.708333333333333,0.64968152866242,0.8759735202492209,0.58041958041958,1.3833333333333302,0.521792265972536,0.7010577214986129,1.0,0.0776997604125864,0.125698324022346,0.04710144927536232
"jedit-4.2(4.1,4.0,3.2).csv",0.7796610169491529,0.34,0.7391304347826091,0.465753424657534,0.8607425183512141,0.61781322698571,1.6165217391304298,0.391983917274882,0.519284182464701,1.0,-0.292520415966782,0.09,0.046948356807511735
jedit-4.2(4.1).csv,0.7796610169491529,0.351851851851852,0.826086956521739,0.493506493506494,0.8728825522303779,0.630686886708296,1.70772946859903,0.43728739063114,0.550071498973591,1.0,-0.36633713614478297,0.0875,0.04666666666666667
"ant-1.7(1.6,1.5,1.4).csv",0.7735334242837649,0.484210526315789,0.575,0.525714285714286,0.795200698080279,0.5492022065365679,1.21828947368421,0.380811502470529,0.539562740704973,1.0,-1.78057250074072,0.0772676371780515,0.042839657282741736
"ant-1.6(1.5,1.4,1.3).csv",0.7899408284023671,0.602739726027397,0.511627906976744,0.553459119496855,0.80218715393134,0.577864443249059,1.36890729531698,0.419721760971522,0.549557182551493,1.0,-0.3597759640793449,0.0990566037735849,0.04230118443316413
"ant-1.7(1.6,1.5).csv",0.7926330150068208,0.520408163265306,0.6375,0.573033707865168,0.8267833769633509,0.580558007650536,1.3841198979591798,0.441872816642805,0.580140775335381,1.0,-2.04704656958246,0.0739081746920493,0.040625
"ant-1.7(1.6,1.5,1.4,1.3).csv",0.7735334242837649,0.485,0.60625,0.538888888888889,0.799067408376963,0.549936006525928,1.22190625,0.3955231973632311,0.5388711047194871,0.5,-1.8104297712084496,0.0873460246360582,0.039319872476089264
pbeans-2.0(1.0).csv,0.6,0.32142857142857106,0.9,0.473684210526316,0.68125,0.377777777777778,0.6071428571428571,0.342474759710787,0.34413481304270804,0.5,-5.94220827178729,0.116666666666667,0.038461538461538464
"ant-1.5(1.4,1.3).csv",0.7717391304347829,0.253731343283582,0.566666666666667,0.350515463917526,0.7068428184281841,0.5716112531969311,1.33432835820896,0.26382749152004603,0.21683256814799495,0.25,0.257027371239337,0.15359477124183,0.036544850498338874
"jedit-4.3(4.2,4.1,4.0).csv",0.7860082304526751,0.0654205607476635,0.6363636363636359,0.11864406779661,0.771961722488038,0.654027042915932,1.89039932030586,0.15285349526962,0.111002910193812,0.0909090909090909,0.20066744714629606,0.0482897384305835,0.03481012658227848
ant-1.7(1.6).csv,0.753069577080491,0.4533333333333329,0.6375,0.5298701298701299,0.8088350785340309,0.5184977128641359,1.07683333333333,0.378695874462731,0.531505210721376,1.0,-1.9159876962296496,0.0907054871220605,0.03428571428571429
"jedit-4.3(4.2,4.1,4.0,3.2).csv",0.7592592592592591,0.0508474576271186,0.545454545454545,0.0930232558139535,0.654736842105263,0.554869684499314,1.24653312788906,0.107416366299536,0.124529599973556,0.33333333333333304,0.187422388020284,0.0503018108651912,0.03396851698425849
jedit-4.0(3.2).csv,0.792727272727273,0.5463917525773201,0.803030303030303,0.6503067484662579,0.842612730172539,0.5607547169811321,1.2766323024055,0.5295909071013889,0.604260603762612,1.0,0.0867332792452948,0.196480938416422,0.03088803088803089
"jedit-4.3(4.2,4.1).csv",0.7860082304526751,0.0654205607476635,0.6363636363636359,0.11864406779661,0.732631578947368,0.654027042915932,1.89039932030586,0.15285349526962,0.110797223454748,0.111111111111111,0.132861897561714,0.0442655935613682,0.022900763358778626
ant-1.4(1.3).csv,0.6964285714285711,0.30952380952381,0.3714285714285711,0.337662337662338,0.643179377013963,0.326923076923077,0.4857142857142861,0.143856156027208,0.329971295887718,1.0,0.0504734653953824,0.0935960591133005,0.016129032258064516
jedit-4.3(4.2).csv,0.825102880658436,0.0795454545454545,0.6363636363636359,0.141414141414141,0.6838277511961719,0.715461493239271,2.51446280991736,0.179926260709728,0.217169700370053,0.5,0.12176772618670698,0.0442655935613682,0.0028169014084507044
