"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","1.87","2.08","2.48","6.3","4.33","1.58","0","4.17","5.33"
"ECLIPSE-2007","0.43","0.73","0.25","0.2","0.25","0.65","0","0.62","1.11"
"ECLIPSE-2007","[1.49,2.15]","[1.24,2.51]","[2.23,2.65]","[6.08,6.43]","[4.07,4.49]","[0.84,1.95]","[0,0]","[3.45,4.53]","[4.39,6.05]"
"Metrics-Repo-2010","14.05","8.24","45.61","58.71","31.06","8.17","5.85","15.13","14.57"
"Metrics-Repo-2010","16.61","9","72.04","83.82","44.96","13.54","28.26","18.73","16.08"
"Metrics-Repo-2010","[9.78,18.66]","[6.23,10.92]","[28.95,67.34]","[40.34,82.71]","[22.33,49.09]","[5.69,13.28]","[1.75,19.88]","[11.31,21.17]","[11.23,19.6]"
"JIRA-HA-2019","8.09","5.21","3.53","16.78","11.03","9.43","1.82","9.55","18.04"
"JIRA-HA-2019","8.49","3.98","2.41","14.14","7.95","8.79","7.24","7.62","25.8"
"JIRA-HA-2019","[6.07,11.55]","[4.08,6.62]","[2.83,4.29]","[13.21,22.3]","[8.77,13.69]","[7,12.68]","[0.28,5.93]","[7.44,12.49]","[12.25,31.84]"
"JIRA-RA-2019","6.74","3.58","3.32","14.06","8.73","6.45","1.41","6.38","11.73"
"JIRA-RA-2019","9.36","3.14","4.57","13.32","8.54","5.5","6.33","5.75","10.61"
"JIRA-RA-2019","[4.69,11.13]","[2.66,4.61]","[2.39,5.48]","[10.21,18.25]","[6.29,11.92]","[4.88,8.31]","[0,3.97]","[4.85,8.3]","[8.84,15.39]"
"MA-SZZ-2020","2.48","1.34","2.65","6.52","4.31","2.76","0.31","2.72","4.51"
"MA-SZZ-2020","2.07","1.67","3.17","6.4","4.22","2.9","3.97","3.46","5.45"
"MA-SZZ-2020","[2.17,2.81]","[1.09,1.62]","[2.15,3.23]","[5.58,7.6]","[3.65,5]","[2.37,3.31]","[0,0.94]","[2.24,3.3]","[3.72,5.41]"
"IND-JLMIV+R-2020","4.98","2.56","3.23","13.02","6.56","5.12","0.8","5.63","10.44"
"IND-JLMIV+R-2020","8.55","2.43","2.7","8.99","5.23","4.73","5.87","4.29","8.55"
"IND-JLMIV+R-2020","[3.73,7.38]","[2.14,3.12]","[2.78,3.83]","[11.39,14.84]","[5.63,7.68]","[4.39,6.18]","[0,2.4]","[4.77,6.45]","[9.02,12.32]"
