"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","8.18","6.09","2.48","6.3","4.33","5.22","2.13","11.96","6.22"
"ECLIPSE-2007","0.99","1.83","0.25","0.2","0.25","0.65","1.35","1.8","2.41"
"ECLIPSE-2007","[7.14,8.84]","[3.98,7.12]","[2.23,2.65]","[6.08,6.43]","[4.07,4.49]","[4.47,5.58]","[1.36,2.91]","[9.9,13.08]","[4.28,7.77]"
"Metrics-Repo-2010","60.48","32.3","45.61","58.71","31.06","42.02","279.71","2536.49","67.28"
"Metrics-Repo-2010","99.18","49.03","72.04","83.82","44.96","72.82","1931.95","17459.31","190.12"
"Metrics-Repo-2010","[41.51,95.8]","[21.92,51.35]","[28.63,66.88]","[40.33,82.69]","[22,47.42]","[29.61,81.88]","[20.29,1305.01]","[145.7,11778.13]","[32.71,144.81]"
"JIRA-HA-2019","16.35","12.73","3.53","16.78","11.03","14.24","31.15","108.87","36.29"
"JIRA-HA-2019","12.67","9.44","2.41","14.14","7.95","11.42","158.37","196.71","32.72"
"JIRA-HA-2019","[12.81,21.14]","[9.92,15.97]","[2.84,4.26]","[12.85,22.26]","[8.84,13.98]","[11.14,18.42]","[4.73,159.18]","[65.09,223.41]","[26.42,47.99]"
"JIRA-RA-2019","24.44","8.91","3.32","14.06","8.73","10.67","5.84","38.54","27.39"
"JIRA-RA-2019","73.78","8.61","4.57","13.32","8.54","8.54","10.52","58.58","25.56"
"JIRA-RA-2019","[11.19,68.58]","[6.65,11.97]","[2.42,5.83]","[10.27,18.31]","[6.38,11.54]","[8.25,13.81]","[3.46,10.51]","[27.13,73.99]","[20.55,36.96]"
"MA-SZZ-2020","6.36","3.35","2.65","6.52","4.31","5.11","2.68","69.39","33.95"
"MA-SZZ-2020","6.42","4.19","3.17","6.4","4.22","5.42","8.25","291.14","71.27"
"MA-SZZ-2020","[5.44,7.41]","[2.77,4.02]","[2.17,3.23]","[5.48,7.57]","[3.7,5.07]","[4.36,5.96]","[1.78,4.65]","[39.34,141.71]","[25.61,48.62]"
"IND-JLMIV+R-2020","14.44","7.68","3.8","14.88","10.51","15.06","42.14","49.47","64.8"
"IND-JLMIV+R-2020","18.51","17.82","3.26","9.57","8.82","15.39","288.51","109.58","98.63"
"IND-JLMIV+R-2020","[12.65,16.78]","[6.14,10.29]","[3.44,4.2]","[13.86,15.99]","[9.63,11.62]","[13.22,16.94]","[22.82,115.99]","[40.36,68.78]","[56.11,79.73]"
